P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999998,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999997,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999991,9e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999973,2.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999932,6.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999861,0.000139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999742,0.000258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999537,0.000463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999194,0.000806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.998613,0.001387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.997791,0.002209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.996541,0.003459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.994761,0.005239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.992373,0.007627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.989092,0.010908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.984796,0.015201,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.979212,0.020782,6e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.972215,0.027764,2.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.963451,0.036512,3.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.952853,0.047068,7.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.940114,0.059713,0.000173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.925124,0.074559,0.000317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.907641,0.091776,0.000583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.887362,0.111549,0.001089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.864722,0.133445,0.001833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.839066,0.157952,0.002981,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.81042,0.184844,0.004731,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.779114,0.213769,0.007101,1.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.744881,0.24447,0.010618,3.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.70856,0.275854,0.015519,6.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.670012,0.307838,0.02202,0.00013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.629359,0.339741,0.030668,0.000232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.586896,0.370966,0.041689,0.000449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.543491,0.400166,0.055491,0.000852,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.499523,0.426726,0.072237,0.001514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45559,0.449711,0.092036,0.002663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.411889,0.468465,0.115236,0.00441,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.369187,0.482079,0.141635,0.007096,3e-06,0.0,0.0,0.0,0.0,0.0,0.0
0.328288,0.489753,0.17097,0.01098,9e-06,0.0,0.0,0.0,0.0,0.0,0.0
0.288933,0.492369,0.202142,0.016536,2e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.252129,0.488204,0.235543,0.024057,6.7e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.217572,0.47851,0.269605,0.034143,0.00017,0.0,0.0,0.0,0.0,0.0,0.0
0.185724,0.462793,0.30381,0.0473,0.000373,0.0,0.0,0.0,0.0,0.0,0.0
0.156814,0.442237,0.3365,0.063692,0.000757,0.0,0.0,0.0,0.0,0.0,0.0
0.130917,0.416932,0.366661,0.084045,0.001445,0.0,0.0,0.0,0.0,0.0,0.0
0.1082,0.387741,0.393082,0.108384,0.002593,0.0,0.0,0.0,0.0,0.0,0.0
0.088173,0.355703,0.414761,0.136789,0.004573,1e-06,0.0,0.0,0.0,0.0,0.0
0.071072,0.322089,0.430576,0.168623,0.007634,6e-06,0.0,0.0,0.0,0.0,0.0
0.056515,0.287514,0.439925,0.203831,0.012196,1.9e-05,0.0,0.0,0.0,0.0,0.0
0.044375,0.253233,0.441832,0.241892,0.018618,5e-05,0.0,0.0,0.0,0.0,0.0
0.034442,0.21933,0.437332,0.280932,0.02783,0.000134,0.0,0.0,0.0,0.0,0.0
0.026311,0.187428,0.425225,0.320699,0.040015,0.000322,0.0,0.0,0.0,0.0,0.0
0.019748,0.157777,0.407012,0.358542,0.05624,0.000681,0.0,0.0,0.0,0.0,0.0
0.014622,0.130887,0.383394,0.393277,0.076385,0.001435,0.0,0.0,0.0,0.0,0.0
0.010736,0.106858,0.355319,0.423332,0.101109,0.002646,0.0,0.0,0.0,0.0,0.0
0.007716,0.085799,0.323629,0.447843,0.13022,0.004793,0.0,0.0,0.0,0.0,0.0
0.005497,0.067752,0.289727,0.465005,0.164013,0.008006,0.0,0.0,0.0,0.0,0.0
0.003814,0.052716,0.254717,0.474981,0.200806,0.012964,2e-06,0.0,0.0,0.0,0.0
0.002622,0.040287,0.220326,0.475984,0.240451,0.020325,5e-06,0.0,0.0,0.0,0.0
0.001766,0.030292,0.18725,0.468647,0.28154,0.030487,1.8e-05,0.0,0.0,0.0,0.0
0.001198,0.022357,0.156644,0.452774,0.322911,0.044039,7.7e-05,0.0,0.0,0.0,0.0
0.000772,0.016243,0.128735,0.430037,0.362289,0.061708,0.000216,0.0,0.0,0.0,0.0
0.000479,0.011556,0.103911,0.401554,0.398006,0.084038,0.000456,0.0,0.0,0.0,0.0
0.00029,0.008185,0.082427,0.368174,0.428427,0.111481,0.001016,0.0,0.0,0.0,0.0
0.000176,0.005635,0.06413,0.332171,0.451773,0.144084,0.002031,0.0,0.0,0.0,0.0
0.000105,0.003855,0.049109,0.293573,0.468151,0.18138,0.003827,0.0,0.0,0.0,0.0
5.6e-05,0.002532,0.03686,0.255061,0.475577,0.223088,0.006826,0.0,0.0,0.0,0.0
2.8e-05,0.001592,0.026997,0.217673,0.47374,0.268211,0.011759,0.0,0.0,0.0,0.0
1.1e-05,0.001007,0.019325,0.182383,0.463042,0.315084,0.019135,1.3e-05,0.0,0.0,0.0
6e-06,0.000639,0.013671,0.149651,0.443778,0.362354,0.029853,4.8e-05,0.0,0.0,0.0
5e-06,0.000366,0.009515,0.120352,0.416617,0.408247,0.044753,0.000145,0.0,0.0,0.0
3e-06,0.000224,0.006371,0.094791,0.383494,0.449898,0.064798,0.000421,0.0,0.0,0.0
1e-06,0.000119,0.004204,0.073198,0.346175,0.484118,0.091166,0.001019,0.0,0.0,0.0
0.0,6.1e-05,0.002723,0.055207,0.305161,0.510867,0.123777,0.002204,0.0,0.0,0.0
0.0,3.2e-05,0.001698,0.040721,0.262892,0.527247,0.162821,0.004589,0.0,0.0,0.0
0.0,1.9e-05,0.001043,0.028965,0.221982,0.531325,0.207869,0.008795,2e-06,0.0,0.0
0.0,7e-06,0.000595,0.020221,0.182215,0.523631,0.257474,0.015854,3e-06,0.0,0.0
0.0,3e-06,0.00037,0.013696,0.146001,0.502941,0.310045,0.026929,1.5e-05,0.0,0.0
0.0,0.0,0.000193,0.008956,0.11364,0.470413,0.36314,0.043569,8.9e-05,0.0,0.0
0.0,0.0,0.000104,0.005746,0.085484,0.428128,0.412398,0.067793,0.000347,0.0,0.0
0.0,0.0,5.5e-05,0.003522,0.062068,0.378294,0.453957,0.10097,0.001134,0.0,0.0
0.0,0.0,2.1e-05,0.002058,0.043593,0.323128,0.483954,0.144269,0.002977,0.0,0.0
0.0,0.0,8e-06,0.00116,0.029342,0.266739,0.497704,0.19792,0.007127,0.0,0.0
0.0,0.0,5e-06,0.000605,0.018938,0.211188,0.49421,0.25969,0.015364,0.0,0.0
0.0,0.0,2e-06,0.000309,0.011536,0.16037,0.470548,0.327041,0.030194,0.0,0.0
0.0,0.0,1e-06,0.000147,0.006605,0.115327,0.42944,0.39295,0.05553,0.0,0.0
0.0,0.0,0.0,5.8e-05,0.003565,0.078129,0.372308,0.450652,0.095196,9.2e-05,0.0
0.0,0.0,0.0,2e-05,0.001727,0.049193,0.304642,0.491229,0.152399,0.00079,0.0
