model,J,q_capacity,# consumers,method,success,beta1,fun_obj optimo,fun_obj,secuencialidad de elecciones,X_1,std_error_beta1,p_value_beta1
Sequential,100,50,100,l-bfgs-b,True,0.7993361683671006,458.2253773775612,463.06529578172706,"[ 0. 62. 75.  5. 31. 29. 92.  6. 94. 62. 56. 47. 14. 95. 86. 86. 89. 47.
 65. 35. 94. 38. 12. 87. 30. 72. 13.  0. 39. 53. 18. 95. 28. 79. 11. 48.
 98. 85. 54.  3. 46. 62. 74. 95. 26. 38. 93. 62. 28. 43. 72. 26. 36. 67.
 26.  0. 13. 27. 67.  9. 69. 35. 52. 84. 37. 98. 80.  9. 66. 30. 10. 19.
 93.  8. 73.  1. 46. 58.  6. 45. 73. 48. 89. 10. 36. 82. 10. 62. 17. 70.
 83. 75. 83. 81. 76. 30. 94. 50. 95. 61.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.3771914699711284,0.034075358847315496
No Sequential,100,50,100,l-bfgs-b,True,0.7993361683671006,458.2253773775612,463.06529578172706,"[ 0. 62. 75.  5. 31. 29. 92.  6. 94. 62. 56. 47. 14. 95. 86. 86. 89. 47.
 65. 35. 94. 38. 12. 87. 30. 72. 13.  0. 39. 53. 18. 95. 28. 79. 11. 48.
 98. 85. 54.  3. 46. 62. 74. 95. 26. 38. 93. 62. 28. 43. 72. 26. 36. 67.
 26.  0. 13. 27. 67.  9. 69. 35. 52. 84. 37. 98. 80.  9. 66. 30. 10. 19.
 93.  8. 73.  1. 46. 58.  6. 45. 73. 48. 89. 10. 36. 82. 10. 62. 17. 70.
 83. 75. 83. 81. 76. 30. 94. 50. 95. 61.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.3771914699711284,0.034075358847315496
Sequential,100,50,100,l-bfgs-b,True,1.9463665131960752,448.00590884643356,448.0145358013123,"[70.  5. 77. 39. 98. 12. 46. 69. 35. 52. 97. 58. 90. 67. 43. 74. 74. 33.
 81. 12. 70. 81. 26. 82. 13. 67. 78. 95. 70. 37. 24. 40.  4. 69. 87.  2.
 10. 76. 76.  9. 29. 93. 88. 18. 61. 70. 12. 52. 74. 58. 73. 63. 32. 61.
 94. 76. 83. 81. 84. 29. 55. 86. 10. 52.  5. 87. 95. 89. 73. 43. 87. 48.
  8.  6. 79. 61. 41. 30. 59.  7. 11. 86. 94. 17. 99. 21.  8. 87. 96. 90.
 42. 42. 25. 84. 39. 67. 28. 11. 77. 62.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.4076711393507138,1.8028462542840629e-06
No Sequential,100,50,100,l-bfgs-b,True,1.9463665131960752,448.00590884643356,448.0145358013123,"[70.  5. 77. 39. 98. 12. 46. 69. 35. 52. 97. 58. 90. 67. 43. 74. 74. 33.
 81. 12. 70. 81. 26. 82. 13. 67. 78. 95. 70. 37. 24. 40.  4. 69. 87.  2.
 10. 76. 76.  9. 29. 93. 88. 18. 61. 70. 12. 52. 74. 58. 73. 63. 32. 61.
 94. 76. 83. 81. 84. 29. 55. 86. 10. 52.  5. 87. 95. 89. 73. 43. 87. 48.
  8.  6. 79. 61. 41. 30. 59.  7. 11. 86. 94. 17. 99. 21.  8. 87. 96. 90.
 42. 42. 25. 84. 39. 67. 28. 11. 77. 62.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.4076711393507138,1.8028462542840629e-06
Sequential,100,50,100,l-bfgs-b,True,1.6449147707293181,451.3442801498777,451.73541362368627,"[35. 44. 67. 83. 32. 60. 72. 96. 16. 80. 42. 38. 73.  5. 14. 76. 87. 95.
 78. 62. 46. 10. 21. 87. 24. 39. 46. 28. 43. 50. 74. 18. 12. 52. 77. 75.
 15. 42. 48. 43. 81. 33.  2.  9. 20. 35. 82. 22. 42. 33. 30. 75. 30. 85.
 94.  8. 11. 63. 21.  0. 61. 91. 56. 49. 25. 72. 75. 30. 78.  0. 28.  7.
 17. 10. 68. 70. 78. 65. 50. 15. 62. 73. 35. 12. 67. 77. 87. 27. 77. 69.
  5. 25. 67. 14. 29. 91. 88. 94. 94. 13.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.3976703830646302,3.528317819179172e-05
No Sequential,100,50,100,l-bfgs-b,True,1.6449147707293181,451.3442801498777,451.73541362368627,"[35. 44. 67. 83. 32. 60. 72. 96. 16. 80. 42. 38. 73.  5. 14. 76. 87. 95.
 78. 62. 46. 10. 21. 87. 24. 39. 46. 28. 43. 50. 74. 18. 12. 52. 77. 75.
 15. 42. 48. 43. 81. 33.  2.  9. 20. 35. 82. 22. 42. 33. 30. 75. 30. 85.
 94.  8. 11. 63. 21.  0. 61. 91. 56. 49. 25. 72. 75. 30. 78.  0. 28.  7.
 17. 10. 68. 70. 78. 65. 50. 15. 62. 73. 35. 12. 67. 77. 87. 27. 77. 69.
  5. 25. 67. 14. 29. 91. 88. 94. 94. 13.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.3976703830646302,3.528317819179172e-05
Sequential,100,50,100,l-bfgs-b,True,2.727036730882,437.8403038105202,439.2767720552752,"[42. 43.  5. 74. 26. 67. 18.  0. 62. 62. 72. 73. 95. 42. 50. 18. 48. 12.
 25. 48. 52. 62. 90. 52. 80. 34. 62. 72. 55. 15. 77.  5. 88. 56. 61. 35.
 96. 14. 91. 63. 15. 70. 18. 89. 21. 77.  4. 99. 55. 48. 81. 81. 13. 10.
 58. 95. 58. 32. 67. 18. 48. 23. 20. 21. 66. 84.  9. 18. 71. 40. 33. 43.
 94. 67. 67. 27. 50. 97. 21.  6. 36. 27. 42. 83.  5. 66. 65. 87. 21. 12.
  3. 67. 76. 32. 65. 67. 72. 58. 35. 75.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.4398502638392635,5.649163359322529e-10
No Sequential,100,50,100,l-bfgs-b,True,2.727036730882,437.8403038105202,439.2767720552752,"[42. 43.  5. 74. 26. 67. 18.  0. 62. 62. 72. 73. 95. 42. 50. 18. 48. 12.
 25. 48. 52. 62. 90. 52. 80. 34. 62. 72. 55. 15. 77.  5. 88. 56. 61. 35.
 96. 14. 91. 63. 15. 70. 18. 89. 21. 77.  4. 99. 55. 48. 81. 81. 13. 10.
 58. 95. 58. 32. 67. 18. 48. 23. 20. 21. 66. 84.  9. 18. 71. 40. 33. 43.
 94. 67. 67. 27. 50. 97. 21.  6. 36. 27. 42. 83.  5. 66. 65. 87. 21. 12.
  3. 67. 76. 32. 65. 67. 72. 58. 35. 75.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.4398502638392635,5.649163359322529e-10
Sequential,100,50,100,l-bfgs-b,True,2.2459421952101097,444.32979201521107,444.5047646477962,"[48. 65. 99. 12. 74. 87. 48. 95. 18. 10. 78. 13. 26. 80.  2. 56.  6. 76.
 18. 49. 63. 48. 99. 65. 58. 43. 52. 63. 28. 55. 43. 70. 57. 33.  6. 34.
 37. 38. 97. 24. 72.  6. 81. 25. 18. 78. 51. 25. 99. 33. 53.  7.  5. 67.
 72. 58. 90.  5. 94. 46. 46. 62. 58. 12. 80. 63. 24. 58. 95. 38. 63. 99.
 38. 83. 17. 31. 99. 56. 78. 91. 56. 93. 35. 77. 27. 25.  0. 59. 91. 55.
 15. 52. 23. 70. 51. 51. 47. 63. 70. 17.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.4189692460881724,8.292884023930469e-08
No Sequential,100,50,100,l-bfgs-b,True,2.2459421952101097,444.32979201521107,444.5047646477962,"[48. 65. 99. 12. 74. 87. 48. 95. 18. 10. 78. 13. 26. 80.  2. 56.  6. 76.
 18. 49. 63. 48. 99. 65. 58. 43. 52. 63. 28. 55. 43. 70. 57. 33.  6. 34.
 37. 38. 97. 24. 72.  6. 81. 25. 18. 78. 51. 25. 99. 33. 53.  7.  5. 67.
 72. 58. 90.  5. 94. 46. 46. 62. 58. 12. 80. 63. 24. 58. 95. 38. 63. 99.
 38. 83. 17. 31. 99. 56. 78. 91. 56. 93. 35. 77. 27. 25.  0. 59. 91. 55.
 15. 52. 23. 70. 51. 51. 47. 63. 70. 17.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.4189692460881724,8.292884023930469e-08
