model,J,q_capacity,# consumers,method,success,beta1,fun_obj optimo,fun_obj,secuencialidad de elecciones,X_1,std_error_beta1,p_value_beta1
Sequential,100,5,100,l-bfgs-b,True,2.068620092406524,446.54515538139543,446.5590751867131,"[94.  6.  0. 55. 30. 33. 22. 73. 27. 79. 67. 21. 95. 60. 76.  3. 10. 70.
 32. 30. 27. 62. 12. 76.  5. 66. 18. 83. 58. 14. 67. 36. 97. 74. 50. 13.
 56. 12. 61. 73. 51.  1. 17. 88. 35. 32. 94. 48. 35. 76. 31. 72. 79. 34.
 83. 24. 88. 43. 81.  7. 55. 69. 28. 21.  5.  4. 91. 91. 62. 74. 13. 74.
 12. 79. 46. 13. 35. 87. 48. 44. 35. 72. 36.  1. 12. 86. 56. 33. 59.  0.
 70. 91. 13. 62. 60. 24. 55. 98. 84. 62.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.4121200979089257,5.181709978874238e-07
No Sequential,100,5,100,l-bfgs-b,True,2.068620092406524,446.54515538139543,446.5590751867131,"[94.  6.  0. 55. 30. 33. 22. 73. 27. 79. 67. 21. 95. 60. 76.  3. 10. 70.
 32. 30. 27. 62. 12. 76.  5. 66. 18. 83. 58. 14. 67. 36. 97. 74. 50. 13.
 56. 12. 61. 73. 51.  1. 17. 88. 35. 32. 94. 48. 35. 76. 31. 72. 79. 34.
 83. 24. 88. 43. 81.  7. 55. 69. 28. 21.  5.  4. 91. 91. 62. 74. 13. 74.
 12. 79. 46. 13. 35. 87. 48. 44. 35. 72. 36.  1. 12. 86. 56. 33. 59.  0.
 70. 91. 13. 62. 60. 24. 55. 98. 84. 62.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.4121200979089257,5.181709978874238e-07
Sequential,100,5,100,l-bfgs-b,True,1.598096338703082,451.435580370906,451.9369842227725,"[18. 65. 76. 14. 18. 32. 17. 31. 70. 89. 33. 52. 39.  5. 13. 26. 79. 70.
 12. 63. 67.  0. 72. 75. 24. 59. 41. 72. 85. 30. 44. 73. 74. 95. 12. 12.
 98. 63. 14. 93. 89.  0. 62. 90. 62. 58. 46. 10. 38. 53.  1. 15. 89. 14.
 81. 52. 51. 78. 90. 53. 33.  5. 95. 12. 58. 12. 50.  7. 76. 30. 53.  4.
 61. 78. 46. 33. 87. 50. 81. 30. 57.  5.  5. 56. 44. 78. 51.  4.  4. 25.
  5. 17. 56.  8. 52. 62.  1. 21. 69. 15.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.397114274977121,5.715153841090448e-05
No Sequential,100,5,100,l-bfgs-b,True,1.5617716128542614,452.1921809613131,452.7931150068878,"[18. 65. 76. 14. 18. 32. 17. 31. 70. 89. 33. 52. 39.  5. 13. 26. 79. 70.
 12. 63. 67.  0. 72. 75. 24. 59. 41. 72. 85. 30. 44. 73. 74. 95. 12. 12.
 98. 63. 14. 93. 89.  0. 62. 90. 62. 58. 46. 10. 38. 53.  1. 15. 89. 14.
 81. 52. 51. 78. 90. 53. 33.  5. 95. 12. 58. 12. 50.  7. 76. 30. 53.  4.
 61. 78. 46. 33. 87. 50. 81. 30. 57.  5.  5. 56. 44. 78. 51.  4.  4. 25.
  5. 17. 56.  8. 52. 62.  1. 21. 69. 15.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.39515796525247743,7.741279738837648e-05
Sequential,100,5,100,l-bfgs-b,True,1.742528698800679,450.3070605280748,450.5105446945766,"[33. 67. 37. 56. 51. 24. 70. 57. 70. 42. 42. 66. 95. 32. 91. 98. 76. 72.
 16. 37.  0. 87.  0. 10. 67. 10. 55. 16. 81. 45. 90. 20. 25. 36. 36.  8.
 76. 89. 30. 48. 66.  5. 61. 92. 80.  1. 99. 58. 51. 20. 33. 24. 89. 32.
 66. 11. 72. 65. 22. 87. 17. 42. 28. 47. 78. 99. 90. 24.  0.  7. 62. 66.
  5. 76. 42. 10. 74. 61. 12. 78. 48. 21. 12. 27. 74. 72. 43. 18.  8. 13.
 80. 98.  0. 63. 87.  1. 87. 91. 25. 53.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.4007564218078739,1.3732245960795808e-05
No Sequential,100,5,100,l-bfgs-b,True,1.742528698800679,450.3070605280748,450.5105446945766,"[33. 67. 37. 56. 51. 24. 70. 57. 70. 42. 42. 66. 95. 32. 91. 98. 76. 72.
 16. 37.  0. 87.  0. 10. 67. 10. 55. 16. 81. 45. 90. 20. 25. 36. 36.  8.
 76. 89. 30. 48. 66.  5. 61. 92. 80.  1. 99. 58. 51. 20. 33. 24. 89. 32.
 66. 11. 72. 65. 22. 87. 17. 42. 28. 47. 78. 99. 90. 24.  0.  7. 62. 66.
  5. 76. 42. 10. 74. 61. 12. 78. 48. 21. 12. 27. 74. 72. 43. 18.  8. 13.
 80. 98.  0. 63. 87.  1. 87. 91. 25. 53.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.4007564218078739,1.3732245960795808e-05
Sequential,100,5,100,l-bfgs-b,True,2.3536424836709244,442.3363600194274,442.6955148629997,"[95.  6. 80. 15. 13. 96. 91. 30.  6. 43. 19. 53. 72. 21. 12. 90. 25. 74.
 95. 33. 67. 10. 10. 36. 42. 62. 52. 10. 50. 53. 42. 12. 60. 46. 73. 24.
 56. 17. 56. 33. 96. 83. 30. 19. 44. 55. 50. 92. 57.  0. 67. 74. 89. 35.
 42. 59. 83. 30. 15. 25. 81. 66. 10. 81. 79. 74. 13. 58. 45. 30. 30.  0.
 78. 74. 59. 47. 39. 17. 74. 99. 21. 18.  5. 87. 18. 94. 61. 72. 29. 55.
 46. 67. 45.  7. 43. 35. 75. 76. 70. 78.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.42199886214770205,2.441864954683126e-08
No Sequential,100,5,100,l-bfgs-b,True,2.3477523176970965,443.0106872691506,443.35605926824405,"[95.  6. 80. 15. 13. 96. 91. 30.  6. 43. 19. 53. 72. 21. 12. 90. 25. 74.
 95. 33. 67. 10. 10. 36. 42. 62. 52. 10. 50. 53. 42. 12. 60. 46. 73. 24.
 56. 17. 56. 33. 96. 83. 30. 19. 44. 55. 50. 92. 57.  0. 67. 74. 89. 35.
 42. 59. 83. 30. 15. 25. 81. 66. 10. 81. 79. 74. 13. 58. 45. 30. 30.  0.
 78. 74. 59. 47. 39. 17. 74. 99. 21. 18.  5. 87. 18. 94. 61. 72. 29. 55.
 46. 67. 45.  7. 43. 35. 75. 76. 70. 78.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.4231108655389662,2.8765741122427357e-08
Sequential,100,5,100,l-bfgs-b,True,2.972733049884742,434.22308860385397,436.70562059152604,"[61. 55.  5. 12. 67. 89. 35. 21. 14. 68. 65. 66. 91. 33. 14. 53. 21. 50.
 87. 35. 58. 68. 97. 62. 36.  0. 43. 83. 56. 46. 87. 80. 33. 95. 78. 36.
 21. 77. 69. 78. 66. 35. 43. 69. 58. 21. 43. 26. 55. 70.  0. 22. 68. 42.
 42. 43. 46. 42. 14.  5. 17. 95. 69. 29. 48. 42. 45. 32. 58. 29.  3. 48.
 65. 52. 46. 29. 46. 84. 77. 37. 24.  5. 63. 78. 72. 47. 90. 21. 77. 29.
 52. 69. 77. 60. 55. 76. 99. 46. 96. 36.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.4520668944937715,4.8369530603054045e-11
No Sequential,100,5,100,l-bfgs-b,True,2.952455069161724,434.6118313852186,437.0022633103972,"[61. 55.  5. 12. 67. 89. 35. 21. 14. 68. 65. 66. 91. 33. 14. 53. 21. 50.
 87. 35. 58. 68. 97. 62. 36.  0. 43. 83. 56. 46. 87. 80. 33. 95. 78. 36.
 21. 77. 69. 78. 66. 35. 43. 69. 58. 21. 43. 26. 55. 70.  0. 22. 68. 42.
 42. 43. 46. 42. 14.  5. 17. 95. 69. 29. 48. 42. 45. 32. 58. 29.  3. 48.
 65. 52. 46. 29. 46. 84. 77. 37. 24.  5. 63. 78. 72. 47. 90. 21. 77. 29.
 52. 69. 77. 60. 55. 76. 99. 46. 96. 36.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.45074815468838475,5.7490456839559556e-11
