model,J,q_capacity,# consumers,method,success,beta1,fun_obj optimo,fun_obj,secuencialidad de elecciones,X_1,std_error_beta1,p_value_beta1
Sequential,100,100,100,l-bfgs-b,True,2.161964918034025,445.39250212659147,445.46917915508686,"[ 6. 46. 98. 91. 96. 56. 69. 17. 95. 37. 10. 36. 48. 62. 97. 81. 13. 36.
 50. 97. 18. 25. 12. 58.  4. 99. 77. 41. 51. 12. 70.  0. 78. 42. 59. 86.
 21. 65. 39. 23. 25.  3. 91. 54. 55. 72. 58. 45. 83. 76. 33. 76. 10. 53.
 62. 30. 72. 43. 35. 19. 41. 12. 21. 11. 69. 29. 58. 45. 52. 55. 62. 45.
 53. 36. 39. 48. 27. 69. 91. 56. 99. 78. 63. 16. 66. 23. 78. 79. 24. 54.
 35. 70. 61. 12. 16. 43. 58. 37. 78. 13.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.41566752479892455,1.9801873230029798e-07
No Sequential,100,100,100,l-bfgs-b,True,2.161964918034025,445.39250212659147,445.46917915508686,"[ 6. 46. 98. 91. 96. 56. 69. 17. 95. 37. 10. 36. 48. 62. 97. 81. 13. 36.
 50. 97. 18. 25. 12. 58.  4. 99. 77. 41. 51. 12. 70.  0. 78. 42. 59. 86.
 21. 65. 39. 23. 25.  3. 91. 54. 55. 72. 58. 45. 83. 76. 33. 76. 10. 53.
 62. 30. 72. 43. 35. 19. 41. 12. 21. 11. 69. 29. 58. 45. 52. 55. 62. 45.
 53. 36. 39. 48. 27. 69. 91. 56. 99. 78. 63. 16. 66. 23. 78. 79. 24. 54.
 35. 70. 61. 12. 16. 43. 58. 37. 78. 13.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.41566752479892455,1.9801873230029798e-07
Sequential,100,100,100,l-bfgs-b,True,2.1647384077607983,445.35776407253167,445.43706419287423,"[58. 65. 21. 33. 90. 26. 46. 96. 30. 67. 55. 14. 21. 42.  0. 29. 97. 46.
  5.  3. 72. 92. 33. 39. 25. 24. 83. 70. 70. 45. 90. 40.  6. 97. 10. 29.
 25. 50. 36. 21.  5. 78. 35.  6. 65. 87. 22. 95. 24. 53. 10. 91.  0. 56.
 60. 70. 17. 17. 43. 36. 72. 90. 86. 58. 14. 85. 26. 36. 18. 16. 33. 65.
 24. 11. 14. 56. 90. 69.  7. 72. 63. 72. 65. 14.  5. 12. 97. 47. 33. 50.
  6. 43.  7. 20. 87.  5. 18. 74. 71. 33.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.41577490685998153,1.9241985116380533e-07
No Sequential,100,100,100,l-bfgs-b,True,2.1647384077607983,445.35776407253167,445.43706419287423,"[58. 65. 21. 33. 90. 26. 46. 96. 30. 67. 55. 14. 21. 42.  0. 29. 97. 46.
  5.  3. 72. 92. 33. 39. 25. 24. 83. 70. 70. 45. 90. 40.  6. 97. 10. 29.
 25. 50. 36. 21.  5. 78. 35.  6. 65. 87. 22. 95. 24. 53. 10. 91.  0. 56.
 60. 70. 17. 17. 43. 36. 72. 90. 86. 58. 14. 85. 26. 36. 18. 16. 33. 65.
 24. 11. 14. 56. 90. 69.  7. 72. 63. 72. 65. 14.  5. 12. 97. 47. 33. 50.
  6. 43.  7. 20. 87.  5. 18. 74. 71. 33.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.41577490685998153,1.9241985116380533e-07
Sequential,100,100,100,l-bfgs-b,True,1.3653495900611325,454.0586760853517,455.34439376632884,"[94. 82. 92. 41. 33. 97. 80. 22. 25. 62. 52. 81. 61. 17. 75. 19. 81. 13.
 50. 43. 52. 13. 67. 30. 38. 98. 79. 76. 16. 20. 36. 58. 77. 95. 74. 78.
 95. 80. 67. 12. 12. 69. 63. 48. 13. 92. 70. 99. 32. 43. 41. 72. 56. 97.
 28. 87. 12. 55. 15. 81. 75. 23. 41. 66. 77. 37. 64. 83.  5. 47. 94. 40.
 46. 94. 91. 63. 48. 58. 77. 61. 78. 71. 46. 14. 41.  8.  2. 67. 59. 97.
 20. 98. 89. 24. 20. 88. 45. 78. 79. 91.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.3896502704868457,0.0004582589206048038
No Sequential,100,100,100,l-bfgs-b,True,1.3653495900611325,454.0586760853517,455.34439376632884,"[94. 82. 92. 41. 33. 97. 80. 22. 25. 62. 52. 81. 61. 17. 75. 19. 81. 13.
 50. 43. 52. 13. 67. 30. 38. 98. 79. 76. 16. 20. 36. 58. 77. 95. 74. 78.
 95. 80. 67. 12. 12. 69. 63. 48. 13. 92. 70. 99. 32. 43. 41. 72. 56. 97.
 28. 87. 12. 55. 15. 81. 75. 23. 41. 66. 77. 37. 64. 83.  5. 47. 94. 40.
 46. 94. 91. 63. 48. 58. 77. 61. 78. 71. 46. 14. 41.  8.  2. 67. 59. 97.
 20. 98. 89. 24. 20. 88. 45. 78. 79. 91.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.3896502704868457,0.0004582589206048038
Sequential,100,100,100,l-bfgs-b,True,1.716604655110964,450.5867587420951,450.8339780407878,"[41. 61.  6. 35. 74. 79. 21.  5. 13. 74. 21. 85. 21. 80. 35. 87. 56. 96.
 46. 69. 77. 92. 10. 22. 45. 46. 63. 20. 70. 38. 30. 17. 90. 44. 25. 72.
 81. 68. 67. 67. 32. 80. 95. 33. 59. 45. 20. 82. 95. 32. 24. 17. 87. 33.
 24. 26. 98. 90. 89. 66. 74. 14. 56. 12. 46.  7. 73. 62. 98. 61. 91. 89.
 33. 15. 72. 72. 56. 41. 91. 57. 77. 14. 52. 28.  5. 82. 57. 12.  0.  5.
 86. 61. 23. 18. 83. 95.  0. 52. 74. 42.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.39992253008607404,1.7679759026556496e-05
No Sequential,100,100,100,l-bfgs-b,True,1.716604655110964,450.5867587420951,450.8339780407878,"[41. 61.  6. 35. 74. 79. 21.  5. 13. 74. 21. 85. 21. 80. 35. 87. 56. 96.
 46. 69. 77. 92. 10. 22. 45. 46. 63. 20. 70. 38. 30. 17. 90. 44. 25. 72.
 81. 68. 67. 67. 32. 80. 95. 33. 59. 45. 20. 82. 95. 32. 24. 17. 87. 33.
 24. 26. 98. 90. 89. 66. 74. 14. 56. 12. 46.  7. 73. 62. 98. 61. 91. 89.
 33. 15. 72. 72. 56. 41. 91. 57. 77. 14. 52. 28.  5. 82. 57. 12.  0.  5.
 86. 61. 23. 18. 83. 95.  0. 52. 74. 42.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.39992253008607404,1.7679759026556496e-05
Sequential,100,100,100,l-bfgs-b,True,2.3300570124133673,443.2423333733683,443.55414072581505,"[38. 59.  1. 73.  0. 67. 92. 39. 43. 86. 81. 48. 21. 76. 18. 55. 18. 38.
 42. 52. 30. 12. 13. 95. 27. 43.  6. 29. 74. 80. 70. 56. 26. 87.  6. 62.
 48. 35. 97. 75. 31. 30. 15. 87. 43.  6. 35. 35. 37. 67. 70. 67. 26. 32.
 21. 12. 77.  0. 52. 47. 22. 63. 67. 24. 18. 75. 35. 90. 35. 94. 26.  9.
 12. 42. 19. 62. 24. 61. 48.  7. 26. 17. 67. 90. 72. 97. 48. 18. 13. 56.
 10. 15. 78. 14. 62. 91.  6. 87. 65. 95.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.42238016916266896,3.458323472038671e-08
No Sequential,100,100,100,l-bfgs-b,True,2.3300570124133673,443.2423333733683,443.55414072581505,"[38. 59.  1. 73.  0. 67. 92. 39. 43. 86. 81. 48. 21. 76. 18. 55. 18. 38.
 42. 52. 30. 12. 13. 95. 27. 43.  6. 29. 74. 80. 70. 56. 26. 87.  6. 62.
 48. 35. 97. 75. 31. 30. 15. 87. 43.  6. 35. 35. 37. 67. 70. 67. 26. 32.
 21. 12. 77.  0. 52. 47. 22. 63. 67. 24. 18. 75. 35. 90. 35. 94. 26.  9.
 12. 42. 19. 62. 24. 61. 48.  7. 26. 17. 67. 90. 72. 97. 48. 18. 13. 56.
 10. 15. 78. 14. 62. 91.  6. 87. 65. 95.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793 0.55249695 0.52790539 0.92335039 0.24594844
 0.06401838 0.9021047  0.8740398  0.16366729 0.99974131 0.34680397
 0.31287816 0.84710402 0.8802311  0.67655865 0.05367515 0.55921377
 0.69451294 0.8241973  0.31142866 0.50523054 0.84900379 0.29351563
 0.67711955 0.4209064  0.68171271 0.22122799 0.5489977  0.84884672
 0.7365669  0.49962259 0.37966499 0.78752081 0.16886931 0.58635861
 0.43121067 0.06191019 0.28945477 0.7341454  0.28865545 0.39039811
 0.63561732 0.83114886 0.319421   0.15922479 0.71166422 0.87270864
 0.59315637 0.69471288 0.17323332 0.53173259]",0.42238016916266896,3.458323472038671e-08
