model,J,q_capacity,# consumers,method,success,beta1,fun_obj optimo,fun_obj,secuencialidad de elecciones,X_1,std_error_beta1,p_value_beta1
Sequential,10,50,100,l-bfgs-b,True,1.8940355928249846,218.1829329459172,218.21779637561605,"[5. 6. 3. 6. 8. 0. 6. 3. 4. 8. 0. 6. 5. 8. 0. 9. 0. 7. 5. 0. 6. 6. 5. 6.
 5. 7. 0. 6. 8. 4. 1. 6. 5. 1. 6. 8. 6. 6. 8. 5. 3. 9. 3. 7. 0. 5. 7. 4.
 2. 8. 9. 5. 7. 7. 6. 6. 6. 8. 3. 9. 6. 0. 6. 8. 8. 2. 6. 5. 4. 7. 6. 6.
 5. 9. 1. 6. 5. 5. 4. 2. 2. 2. 9. 3. 6. 5. 5. 6. 0. 4. 3. 0. 6. 8. 7. 5.
 1. 5. 6. 0.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]",0.40008817590806817,2.2008845195209403e-06
No Sequential,10,50,100,l-bfgs-b,True,1.8940355928249846,218.1829329459172,218.21779637561605,"[5. 6. 3. 6. 8. 0. 6. 3. 4. 8. 0. 6. 5. 8. 0. 9. 0. 7. 5. 0. 6. 6. 5. 6.
 5. 7. 0. 6. 8. 4. 1. 6. 5. 1. 6. 8. 6. 6. 8. 5. 3. 9. 3. 7. 0. 5. 7. 4.
 2. 8. 9. 5. 7. 7. 6. 6. 6. 8. 3. 9. 6. 0. 6. 8. 8. 2. 6. 5. 4. 7. 6. 6.
 5. 9. 1. 6. 5. 5. 4. 2. 2. 2. 9. 3. 6. 5. 5. 6. 0. 4. 3. 0. 6. 8. 7. 5.
 1. 5. 6. 0.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]",0.40008817590806817,2.2008845195209403e-06
Sequential,10,50,100,l-bfgs-b,True,1.8484165156099897,218.71827126251034,218.7899839722518,"[8. 0. 6. 6. 7. 6. 2. 1. 6. 7. 8. 0. 6. 7. 5. 5. 4. 8. 0. 8. 0. 6. 4. 7.
 1. 8. 1. 7. 9. 5. 6. 0. 0. 8. 8. 0. 8. 6. 0. 7. 3. 5. 2. 1. 0. 5. 6. 3.
 0. 7. 5. 1. 5. 5. 0. 7. 5. 6. 8. 3. 0. 1. 6. 9. 6. 5. 6. 8. 0. 0. 3. 7.
 6. 7. 3. 4. 7. 4. 3. 9. 5. 6. 5. 7. 1. 7. 0. 9. 6. 7. 0. 5. 9. 7. 5. 2.
 0. 9. 1. 0.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]",0.39859577222002385,3.5295416995761997e-06
No Sequential,10,50,100,l-bfgs-b,True,1.8484165156099897,218.71827126251034,218.7899839722518,"[8. 0. 6. 6. 7. 6. 2. 1. 6. 7. 8. 0. 6. 7. 5. 5. 4. 8. 0. 8. 0. 6. 4. 7.
 1. 8. 1. 7. 9. 5. 6. 0. 0. 8. 8. 0. 8. 6. 0. 7. 3. 5. 2. 1. 0. 5. 6. 3.
 0. 7. 5. 1. 5. 5. 0. 7. 5. 6. 8. 3. 0. 1. 6. 9. 6. 5. 6. 8. 0. 0. 3. 7.
 6. 7. 3. 4. 7. 4. 3. 9. 5. 6. 5. 7. 1. 7. 0. 9. 6. 7. 0. 5. 9. 7. 5. 2.
 0. 9. 1. 0.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]",0.39859577222002385,3.5295416995761997e-06
Sequential,10,50,100,l-bfgs-b,True,2.5686946828675756,209.37583601287957,210.29741445172147,"[6. 0. 7. 5. 0. 8. 0. 0. 6. 5. 7. 5. 8. 7. 5. 4. 6. 4. 5. 5. 5. 0. 4. 4.
 0. 4. 2. 1. 6. 5. 7. 6. 1. 6. 7. 0. 5. 6. 6. 0. 2. 5. 5. 8. 7. 5. 1. 4.
 5. 6. 8. 5. 4. 6. 6. 5. 8. 0. 6. 0. 6. 1. 5. 7. 5. 0. 8. 6. 8. 5. 0. 6.
 0. 6. 1. 0. 1. 5. 6. 5. 7. 0. 0. 8. 3. 7. 5. 5. 8. 5. 2. 6. 6. 1. 1. 1.
 9. 9. 7. 7.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]",0.42754999527869,1.8789543254627006e-09
No Sequential,10,50,100,l-bfgs-b,True,2.5686946828675756,209.37583601287957,210.29741445172147,"[6. 0. 7. 5. 0. 8. 0. 0. 6. 5. 7. 5. 8. 7. 5. 4. 6. 4. 5. 5. 5. 0. 4. 4.
 0. 4. 2. 1. 6. 5. 7. 6. 1. 6. 7. 0. 5. 6. 6. 0. 2. 5. 5. 8. 7. 5. 1. 4.
 5. 6. 8. 5. 4. 6. 6. 5. 8. 0. 6. 0. 6. 1. 5. 7. 5. 0. 8. 6. 8. 5. 0. 6.
 0. 6. 1. 0. 1. 5. 6. 5. 7. 0. 0. 8. 3. 7. 5. 5. 8. 5. 2. 6. 6. 1. 1. 1.
 9. 9. 7. 7.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]",0.42754999527869,1.8789543254627006e-09
Sequential,10,50,100,l-bfgs-b,True,1.1836578571189817,225.34347592141307,227.5573523992751,"[2. 0. 3. 6. 7. 8. 5. 5. 3. 7. 3. 8. 8. 5. 7. 5. 8. 5. 6. 8. 2. 0. 1. 1.
 4. 0. 6. 6. 0. 5. 6. 4. 7. 9. 5. 3. 5. 5. 4. 5. 0. 2. 0. 3. 1. 6. 5. 6.
 7. 9. 7. 0. 6. 8. 4. 7. 7. 4. 8. 6. 5. 2. 0. 8. 4. 1. 8. 9. 5. 4. 1. 5.
 5. 3. 5. 9. 5. 0. 3. 0. 7. 8. 3. 4. 6. 9. 7. 0. 5. 7. 4. 8. 3. 2. 2. 3.
 6. 6. 1. 6.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]",0.3820167252269087,0.0019453899846273437
No Sequential,10,50,100,l-bfgs-b,True,1.1836578571189817,225.34347592141307,227.5573523992751,"[2. 0. 3. 6. 7. 8. 5. 5. 3. 7. 3. 8. 8. 5. 7. 5. 8. 5. 6. 8. 2. 0. 1. 1.
 4. 0. 6. 6. 0. 5. 6. 4. 7. 9. 5. 3. 5. 5. 4. 5. 0. 2. 0. 3. 1. 6. 5. 6.
 7. 9. 7. 0. 6. 8. 4. 7. 7. 4. 8. 6. 5. 2. 0. 8. 4. 1. 8. 9. 5. 4. 1. 5.
 5. 3. 5. 9. 5. 0. 3. 0. 7. 8. 3. 4. 6. 9. 7. 0. 5. 7. 4. 8. 3. 2. 2. 3.
 6. 6. 1. 6.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]",0.3820167252269087,0.0019453899846273437
Sequential,10,50,100,l-bfgs-b,True,2.680422043957359,207.7910844308082,209.08968833927696,"[5. 5. 3. 3. 6. 4. 9. 1. 6. 0. 0. 5. 7. 0. 3. 8. 5. 8. 7. 4. 5. 6. 7. 2.
 5. 6. 6. 7. 6. 5. 6. 6. 6. 0. 0. 7. 6. 3. 8. 0. 5. 0. 1. 0. 9. 8. 0. 1.
 8. 6. 8. 5. 8. 0. 5. 3. 8. 5. 9. 6. 6. 8. 6. 5. 7. 0. 5. 0. 7. 0. 0. 5.
 0. 0. 0. 6. 6. 8. 8. 7. 0. 2. 5. 2. 1. 8. 7. 0. 0. 9. 6. 8. 5. 0. 8. 2.
 6. 5. 0. 5.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]",0.4330812611603182,6.047431444500262e-10
No Sequential,10,50,100,l-bfgs-b,True,2.680422043957359,207.7910844308082,209.08968833927696,"[5. 5. 3. 3. 6. 4. 9. 1. 6. 0. 0. 5. 7. 0. 3. 8. 5. 8. 7. 4. 5. 6. 7. 2.
 5. 6. 6. 7. 6. 5. 6. 6. 6. 0. 0. 7. 6. 3. 8. 0. 5. 0. 1. 0. 9. 8. 0. 1.
 8. 6. 8. 5. 8. 0. 5. 3. 8. 5. 9. 6. 6. 8. 6. 5. 7. 0. 5. 0. 7. 0. 0. 5.
 0. 0. 0. 6. 6. 8. 8. 7. 0. 2. 5. 2. 1. 8. 7. 0. 0. 9. 6. 8. 5. 0. 8. 2.
 6. 5. 0. 5.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]",0.4330812611603182,6.047431444500262e-10
