model,J,q_capacity,# consumers,method,success,beta1,fun_obj optimo,fun_obj,secuencialidad de elecciones,X_1
Sequential,10,20,100,l-bfgs-b,True,2.6524712843396365,208.07506985593196,209.27494410283558,"[5. 7. 7. 6. 0. 5. 1. 7. 5. 5. 5. 5. 1. 1. 3. 2. 8. 6. 0. 6. 3. 7. 7. 6.
 0. 9. 7. 0. 3. 6. 7. 7. 7. 5. 8. 6. 6. 5. 5. 3. 0. 6. 5. 6. 0. 7. 9. 5.
 0. 7. 0. 5. 7. 0. 0. 0. 5. 3. 8. 8. 0. 4. 0. 6. 1. 6. 6. 3. 1. 7. 5. 0.
 8. 8. 6. 6. 5. 8. 0. 6. 1. 8. 6. 6. 3. 0. 6. 8. 0. 3. 5. 3. 5. 8. 2. 6.
 1. 5. 6. 0.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]"
No Sequential,10,20,100,l-bfgs-b,True,2.646345403127518,208.27794488939224,209.45528161125014,"[5. 7. 7. 6. 0. 5. 1. 7. 5. 5. 5. 5. 1. 1. 3. 2. 8. 6. 0. 6. 3. 7. 7. 6.
 0. 9. 7. 0. 3. 6. 7. 7. 7. 5. 8. 6. 6. 5. 5. 3. 0. 6. 5. 6. 0. 7. 9. 5.
 0. 7. 0. 5. 7. 0. 0. 0. 5. 3. 8. 8. 0. 4. 0. 6. 1. 6. 6. 3. 1. 7. 5. 0.
 8. 8. 6. 6. 5. 8. 0. 6. 1. 8. 6. 6. 3. 0. 6. 8. 0. 3. 5. 3. 5. 8. 2. 6.
 1. 5. 6. 0.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]"
Sequential,10,20,100,l-bfgs-b,True,1.9497173661974938,217.5174605244961,217.52525911407167,"[4. 7. 5. 6. 6. 5. 0. 0. 3. 2. 2. 5. 5. 3. 5. 6. 3. 5. 5. 5. 8. 3. 6. 8.
 6. 7. 8. 9. 5. 1. 8. 1. 9. 5. 7. 7. 2. 0. 5. 0. 1. 6. 5. 0. 6. 9. 0. 6.
 1. 0. 9. 8. 3. 8. 7. 0. 0. 5. 7. 2. 0. 3. 9. 6. 7. 8. 4. 6. 7. 5. 6. 0.
 5. 7. 0. 7. 2. 9. 7. 3. 5. 6. 0. 5. 6. 9. 0. 6. 5. 8. 5. 2. 6. 6. 6. 6.
 0. 7. 7. 1.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]"
No Sequential,10,20,100,l-bfgs-b,True,1.9497173661974938,217.5174605244961,217.52525911407167,"[4. 7. 5. 6. 6. 5. 0. 0. 3. 2. 2. 5. 5. 3. 5. 6. 3. 5. 5. 5. 8. 3. 6. 8.
 6. 7. 8. 9. 5. 1. 8. 1. 9. 5. 7. 7. 2. 0. 5. 0. 1. 6. 5. 0. 6. 9. 0. 6.
 1. 0. 9. 8. 3. 8. 7. 0. 0. 5. 7. 2. 0. 3. 9. 6. 7. 8. 4. 6. 7. 5. 6. 0.
 5. 7. 0. 7. 2. 9. 7. 3. 5. 6. 0. 5. 6. 9. 0. 6. 5. 8. 5. 2. 6. 6. 6. 6.
 0. 7. 7. 1.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]"
Sequential,10,20,100,l-bfgs-b,True,1.9673256376969435,214.70724184269872,214.7105580804019,"[5. 1. 6. 3. 2. 9. 7. 7. 0. 7. 7. 0. 5. 1. 9. 0. 2. 5. 0. 3. 3. 6. 6. 5.
 8. 0. 6. 0. 1. 6. 2. 6. 5. 0. 0. 9. 8. 3. 8. 0. 0. 6. 3. 0. 6. 5. 0. 6.
 1. 1. 6. 6. 8. 8. 8. 4. 0. 8. 3. 6. 0. 6. 5. 8. 0. 0. 0. 4. 4. 0. 0. 1.
 7. 8. 0. 1. 2. 5. 2. 7. 2. 8. 5. 3. 5. 7. 7. 8. 3. 7. 6. 5. 6. 3. 5. 5.
 9. 5. 7. 7.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]"
No Sequential,10,20,100,l-bfgs-b,True,1.7986923412660545,219.2912509534004,219.41841637055344,"[5. 1. 6. 3. 2. 9. 7. 7. 0. 7. 7. 0. 5. 1. 9. 0. 2. 5. 0. 3. 3. 6. 6. 5.
 8. 0. 6. 0. 1. 6. 2. 6. 5. 0. 0. 9. 8. 3. 8. 0. 0. 6. 3. 0. 6. 5. 0. 6.
 1. 1. 6. 6. 8. 8. 8. 4. 0. 8. 3. 6. 0. 6. 5. 8. 0. 0. 0. 4. 4. 0. 0. 1.
 7. 8. 0. 1. 2. 5. 2. 7. 2. 8. 5. 3. 5. 7. 7. 8. 3. 7. 6. 5. 6. 3. 5. 5.
 9. 5. 7. 7.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]"
Sequential,10,20,100,l-bfgs-b,True,1.8721298488131508,217.90723947324307,217.95829208310596,"[0. 7. 6. 6. 0. 4. 8. 1. 6. 4. 0. 6. 5. 7. 1. 5. 0. 0. 0. 8. 5. 6. 5. 5.
 4. 9. 9. 1. 3. 5. 9. 5. 5. 6. 6. 0. 7. 6. 0. 7. 3. 8. 0. 0. 6. 9. 5. 5.
 5. 1. 6. 6. 4. 4. 6. 7. 7. 0. 5. 8. 0. 6. 0. 4. 6. 5. 0. 6. 2. 2. 6. 6.
 1. 7. 0. 8. 0. 6. 7. 7. 2. 7. 2. 8. 4. 7. 3. 3. 5. 0. 3. 7. 3. 6. 6. 1.
 9. 8. 5. 9.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]"
No Sequential,10,20,100,l-bfgs-b,True,1.8428562240663267,218.78286450762803,218.8599796251788,"[0. 7. 6. 6. 0. 4. 8. 1. 6. 4. 0. 6. 5. 7. 1. 5. 0. 0. 0. 8. 5. 6. 5. 5.
 4. 9. 9. 1. 3. 5. 9. 5. 5. 6. 6. 0. 7. 6. 0. 7. 3. 8. 0. 0. 6. 9. 5. 5.
 5. 1. 6. 6. 4. 4. 6. 7. 7. 0. 5. 8. 0. 6. 0. 4. 6. 5. 0. 6. 2. 2. 6. 6.
 1. 7. 0. 8. 0. 6. 7. 7. 2. 7. 2. 8. 4. 7. 3. 3. 5. 0. 3. 7. 3. 6. 6. 1.
 9. 8. 5. 9.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]"
Sequential,10,20,100,l-bfgs-b,True,2.5015222530823618,209.63477220105875,210.35754756854809,"[6. 1. 8. 0. 5. 8. 0. 7. 5. 5. 6. 5. 6. 0. 0. 4. 6. 0. 9. 4. 0. 0. 9. 6.
 0. 6. 5. 7. 6. 1. 4. 0. 6. 5. 8. 0. 8. 0. 6. 0. 2. 0. 9. 5. 3. 2. 9. 5.
 6. 9. 6. 0. 5. 8. 6. 9. 3. 5. 7. 5. 7. 7. 1. 5. 0. 1. 0. 7. 6. 5. 5. 5.
 0. 5. 8. 6. 8. 5. 6. 4. 0. 4. 8. 6. 5. 7. 5. 0. 1. 6. 7. 6. 7. 1. 5. 8.
 3. 0. 7. 4.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]"
No Sequential,10,20,100,l-bfgs-b,True,2.430733842430372,211.2913321375909,211.83020103036264,"[6. 1. 8. 0. 5. 8. 0. 7. 5. 5. 6. 5. 6. 0. 0. 4. 6. 0. 9. 4. 0. 0. 9. 6.
 0. 6. 5. 7. 6. 1. 4. 0. 6. 5. 8. 0. 8. 0. 6. 0. 2. 0. 9. 5. 3. 2. 9. 5.
 6. 9. 6. 0. 5. 8. 6. 9. 3. 5. 7. 5. 7. 7. 1. 5. 0. 1. 0. 7. 6. 5. 5. 5.
 0. 5. 8. 6. 8. 5. 6. 4. 0. 4. 8. 6. 5. 7. 5. 0. 1. 6. 7. 6. 7. 1. 5. 8.
 3. 0. 7. 4.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]"
