model,J,q_capacity,# consumers,method,success,beta1,fun_obj optimo,fun_obj,secuencialidad de elecciones,X_1,std_error_beta1,p_value_beta1
Sequential,10,12,100,l-bfgs-b,True,2.1441085453805324,202.42515757974368,202.4761066672096,"[8. 5. 4. 3. 0. 7. 5. 5. 8. 5. 7. 6. 5. 5. 6. 7. 7. 0. 0. 3. 0. 0. 3. 5.
 0. 7. 7. 8. 5. 6. 7. 8. 6. 5. 8. 8. 0. 3. 9. 8. 3. 8. 5. 0. 9. 4. 7. 6.
 0. 0. 6. 5. 1. 6. 8. 4. 3. 2. 5. 0. 7. 4. 4. 3. 6. 6. 6. 7. 6. 9. 2. 0.
 6. 1. 3. 3. 2. 2. 3. 7. 1. 1. 1. 8. 7. 4. 8. 8. 2. 4. 1. 4. 4. 4. 9. 2.
 1. 9. 3. 1.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]",0.4531570659027354,2.2287678229648833e-06
No Sequential,10,12,100,l-bfgs-b,True,0.7907389248245329,228.04018139827886,233.02576312550343,"[8. 5. 4. 3. 0. 7. 5. 5. 8. 5. 7. 6. 5. 5. 6. 7. 7. 0. 0. 3. 0. 0. 3. 5.
 0. 7. 7. 8. 5. 6. 7. 8. 6. 5. 8. 8. 0. 3. 9. 8. 3. 8. 5. 0. 9. 4. 7. 6.
 0. 0. 6. 5. 1. 6. 8. 4. 3. 2. 5. 0. 7. 4. 4. 3. 6. 6. 6. 7. 6. 9. 2. 0.
 6. 1. 3. 3. 2. 2. 3. 7. 1. 1. 1. 8. 7. 4. 8. 8. 2. 4. 1. 4. 4. 4. 9. 2.
 1. 9. 3. 1.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]",0.3767257761359628,0.03581888489309537
Sequential,10,12,100,l-bfgs-b,True,1.5322737388839418,207.89162363150933,208.509134443811,"[0. 5. 1. 7. 0. 5. 8. 9. 6. 6. 9. 0. 1. 0. 0. 5. 8. 9. 0. 7. 6. 5. 8. 1.
 1. 6. 7. 9. 9. 5. 3. 5. 8. 4. 3. 1. 0. 7. 6. 5. 3. 0. 5. 4. 0. 7. 6. 7.
 4. 5. 3. 7. 0. 4. 1. 6. 9. 9. 6. 0. 7. 7. 5. 7. 6. 1. 1. 7. 6. 0. 6. 5.
 9. 2. 5. 2. 1. 6. 1. 7. 1. 1. 4. 8. 8. 2. 3. 3. 9. 4. 9. 4. 3. 8. 3. 3.
 2. 8. 3. 8.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]",0.417293907161484,0.0002407262526209486
No Sequential,10,12,100,l-bfgs-b,True,0.6340909874704334,228.82913316131146,235.2409023199862,"[0. 5. 1. 7. 0. 5. 8. 9. 6. 6. 9. 0. 1. 0. 0. 5. 8. 9. 0. 7. 6. 5. 8. 1.
 1. 6. 7. 9. 9. 5. 3. 5. 8. 4. 3. 1. 0. 7. 6. 5. 3. 0. 5. 4. 0. 7. 6. 7.
 4. 5. 3. 7. 0. 4. 1. 6. 9. 9. 6. 0. 7. 7. 5. 7. 6. 1. 1. 7. 6. 0. 6. 5.
 9. 2. 5. 2. 1. 6. 1. 7. 1. 1. 4. 8. 8. 2. 3. 3. 9. 4. 9. 4. 3. 8. 3. 3.
 2. 8. 3. 8.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]",0.37554315459342225,0.09132224987041582
Sequential,10,12,100,l-bfgs-b,True,1.7887476644364761,204.42918564051578,204.54730961260555,"[7. 0. 5. 6. 6. 1. 7. 2. 1. 5. 2. 0. 0. 8. 7. 5. 4. 6. 0. 1. 0. 2. 8. 6.
 5. 7. 2. 7. 0. 0. 5. 6. 0. 6. 6. 2. 9. 3. 0. 6. 7. 5. 7. 6. 6. 8. 0. 9.
 4. 9. 8. 5. 0. 1. 0. 9. 4. 3. 5. 5. 5. 6. 3. 7. 8. 7. 2. 4. 6. 5. 7. 1.
 5. 7. 7. 8. 2. 3. 4. 1. 2. 3. 1. 2. 9. 1. 1. 2. 4. 3. 2. 1. 8. 2. 8. 8.
 4. 8. 9. 3.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]",0.4329358265050315,3.601382906404105e-05
No Sequential,10,12,100,l-bfgs-b,True,0.5961826225154101,228.9946143777254,235.77895078857526,"[7. 0. 5. 6. 6. 1. 7. 2. 1. 5. 2. 0. 0. 8. 7. 5. 4. 6. 0. 1. 0. 2. 8. 6.
 5. 7. 2. 7. 0. 0. 5. 6. 0. 6. 6. 2. 9. 3. 0. 6. 7. 5. 7. 6. 6. 8. 0. 9.
 4. 9. 8. 5. 0. 1. 0. 9. 4. 3. 5. 5. 5. 6. 3. 7. 8. 7. 2. 4. 6. 5. 7. 1.
 5. 7. 7. 8. 2. 3. 4. 1. 2. 3. 1. 2. 9. 1. 1. 2. 4. 3. 2. 1. 8. 2. 8. 8.
 4. 8. 9. 3.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]",0.3753361473357428,0.11219670856869635
Sequential,10,12,100,l-bfgs-b,True,1.3163788357820638,212.48671216190007,213.9985547176973,"[9. 3. 5. 6. 7. 5. 6. 5. 2. 5. 6. 8. 2. 4. 7. 4. 7. 7. 6. 4. 2. 1. 6. 0.
 3. 5. 8. 2. 6. 4. 2. 6. 5. 5. 5. 7. 5. 1. 4. 1. 0. 8. 3. 8. 8. 3. 0. 9.
 6. 5. 6. 7. 7. 7. 5. 9. 8. 2. 6. 9. 3. 6. 3. 6. 0. 5. 8. 4. 7. 0. 4. 8.
 7. 9. 7. 4. 0. 4. 3. 1. 4. 0. 2. 3. 8. 0. 7. 8. 2. 8. 8. 4. 0. 3. 4. 0.
 1. 0. 0. 9.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]",0.3904249598367566,0.0007471758674462148
No Sequential,10,12,100,l-bfgs-b,True,0.6978915936206082,228.52816411712823,234.33705104667428,"[9. 3. 5. 6. 7. 5. 6. 5. 2. 5. 6. 8. 2. 4. 7. 4. 7. 7. 6. 4. 2. 1. 6. 0.
 3. 5. 8. 2. 6. 4. 2. 6. 5. 5. 5. 7. 5. 1. 4. 1. 0. 8. 3. 8. 8. 3. 0. 9.
 6. 5. 6. 7. 7. 7. 5. 9. 8. 2. 6. 9. 3. 6. 3. 6. 0. 5. 8. 4. 7. 0. 4. 8.
 7. 9. 7. 4. 0. 4. 3. 1. 4. 0. 2. 3. 8. 0. 7. 8. 2. 8. 8. 4. 0. 3. 4. 0.
 1. 0. 0. 9.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]",0.37596119658155225,0.06341277023104341
Sequential,10,12,100,l-bfgs-b,True,1.2759365487579202,215.8965458593119,217.4738793286272,"[3. 5. 7. 0. 2. 2. 6. 9. 0. 6. 0. 5. 5. 8. 5. 5. 3. 5. 1. 0. 7. 9. 0. 4.
 8. 8. 2. 8. 6. 1. 8. 0. 9. 1. 1. 7. 5. 3. 9. 0. 6. 1. 7. 2. 5. 6. 6. 9.
 7. 4. 5. 1. 1. 1. 8. 1. 7. 3. 1. 8. 6. 7. 6. 7. 6. 3. 6. 9. 1. 5. 7. 0.
 0. 0. 9. 6. 6. 8. 0. 2. 5. 5. 9. 8. 7. 0. 9. 8. 3. 2. 8. 1. 7. 3. 7. 9.
 8. 2. 3. 9.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]",0.40262012999022606,0.0015292079802322611
No Sequential,10,12,100,l-bfgs-b,True,0.712469019294395,228.4554307894484,234.1307666492181,"[3. 5. 7. 0. 2. 2. 6. 9. 0. 6. 0. 5. 5. 8. 5. 5. 3. 5. 1. 0. 7. 9. 0. 4.
 8. 8. 2. 8. 6. 1. 8. 0. 9. 1. 1. 7. 5. 3. 9. 0. 6. 1. 7. 2. 5. 6. 6. 9.
 7. 4. 5. 1. 1. 1. 8. 1. 7. 3. 1. 8. 6. 7. 6. 7. 6. 3. 6. 9. 1. 5. 7. 0.
 0. 0. 9. 6. 6. 8. 0. 2. 5. 5. 9. 8. 7. 0. 9. 8. 3. 2. 8. 1. 7. 3. 7. 9.
 8. 2. 3. 9.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695]",0.37606898028868924,0.05815644017496413
