model,J,q_capacity,# consumers,method,success,beta1,fun_obj optimo,fun_obj,secuencialidad de elecciones,X_1,std_error_beta1,p_value_beta1
Sequential,50,4,100,l-bfgs-b,True,2.2847123524642337,387.9780925392838,387.99741795669365,"[23. 10.  0. 23. 42. 25. 13. 48.  5. 13.  0. 17. 30. 27.  4. 35. 37. 42.
  9. 27. 16. 45. 18. 41. 26. 19. 37. 48.  1. 33.  2. 24.  5. 33. 25. 24.
  8.  5. 49. 17. 29. 21.  3.  3. 46. 37. 49. 42.  2. 35. 21. 44.  7. 42.
 44. 33.  9. 43. 48. 18. 34. 12. 22. 20.  6. 35. 15. 15. 37. 47. 30. 30.
 16.  7. 36.  7. 26. 32. 46. 31. 44. 15.  2. 45. 13. 35. 49.  3. 28. 26.
 45. 19. 32.  6. 17. 15.  8. 25. 48. 18.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]",1.4490844875195161,0.1148739688654632
No Sequential,50,4,100,l-bfgs-b,True,2.0920661211028464,390.15304150637843,390.1550583319619,"[23. 10.  0. 23. 42. 25. 13. 48.  5. 13.  0. 17. 30. 27.  4. 35. 37. 42.
  9. 27. 16. 45. 18. 41. 26. 19. 37. 48.  1. 33.  2. 24.  5. 33. 25. 24.
  8.  5. 49. 17. 29. 21.  3.  3. 46. 37. 49. 42.  2. 35. 21. 44.  7. 42.
 44. 33.  9. 43. 48. 18. 34. 12. 22. 20.  6. 35. 15. 15. 37. 47. 30. 30.
 16.  7. 36.  7. 26. 32. 46. 31. 44. 15.  2. 45. 13. 35. 49.  3. 28. 26.
 45. 19. 32.  6. 17. 15.  8. 25. 48. 18.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]",1.4496851485752185,0.1489873523029559
Sequential,50,4,100,l-bfgs-b,True,1.001203268200318,387.842963499098,388.0842347642786,"[34. 15.  5. 17. 33.  3. 33.  3. 43. 37. 47. 31.  1. 22. 19. 21. 31. 10.
 16.  8. 34.  7. 22. 15. 43.  6. 17. 12. 45.  1. 39.  2. 23. 28. 21.  9.
 18.  4. 25. 25. 34. 32.  7. 30. 33. 42. 14. 38. 15. 21. 34. 36. 13. 48.
  5.  5.  5. 26.  0. 24. 12. 45. 18. 44. 48. 36. 13. 47. 15.  2.  0. 38.
 14. 47. 25.  1.  4. 38. 27. 35. 32. 16. 37. 12. 12. 14. 39. 47. 20. 26.
 43.  9. 28. 39. 31. 27.  6. 29. 13. 32.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]",1.435492132295775,0.48551281705208815
No Sequential,50,4,100,l-bfgs-b,True,0.9732331715121078,390.9737752345847,391.2268335277825,"[34. 15.  5. 17. 33.  3. 33.  3. 43. 37. 47. 31.  1. 22. 19. 21. 31. 10.
 16.  8. 34.  7. 22. 15. 43.  6. 17. 12. 45.  1. 39.  2. 23. 28. 21.  9.
 18.  4. 25. 25. 34. 32.  7. 30. 33. 42. 14. 38. 15. 21. 34. 36. 13. 48.
  5.  5.  5. 26.  0. 24. 12. 45. 18. 44. 48. 36. 13. 47. 15.  2.  0. 38.
 14. 47. 25.  1.  4. 38. 27. 35. 32. 16. 37. 12. 12. 14. 39. 47. 20. 26.
 43.  9. 28. 39. 31. 27.  6. 29. 13. 32.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]",1.4410176252905724,0.4994349472656774
Sequential,50,4,100,l-bfgs-b,True,0.1001606502645484,387.95302711788474,388.8436718943717,"[23. 19. 24. 12. 36. 41. 39.  9.  5. 47. 14. 36. 21. 18. 32. 31. 45. 18.
 31. 45.  7. 36. 45. 46. 45.  5. 47. 39. 22.  2.  7. 40. 41.  6.  0.  5.
 35. 22.  8. 49. 41. 42. 46. 29. 39. 16. 23. 17. 21. 19. 30. 47.  6.  6.
  0. 25.  2.  9. 43. 20.  1. 18. 44. 38. 22. 37. 49. 16. 25. 10. 37. 36.
  1. 35. 42. 41.  2.  6. 10. 40. 33. 27.  1. 14. 31. 26. 32. 27. 33. 15.
 10.  1. 19. 11.  3. 15. 25. 15.  9. 35.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]",1.42191941760945,0.9438430930371127
No Sequential,50,4,100,l-bfgs-b,True,-0.037317292399657434,391.2019648835789,392.20276931049176,"[23. 19. 24. 12. 36. 41. 39.  9.  5. 47. 14. 36. 21. 18. 32. 31. 45. 18.
 31. 45.  7. 36. 45. 46. 45.  5. 47. 39. 22.  2.  7. 40. 41.  6.  0.  5.
 35. 22.  8. 49. 41. 42. 46. 29. 39. 16. 23. 17. 21. 19. 30. 47.  6.  6.
  0. 25.  2.  9. 43. 20.  1. 18. 44. 38. 22. 37. 49. 16. 25. 10. 37. 36.
  1. 35. 42. 41.  2.  6. 10. 40. 33. 27.  1. 14. 31. 26. 32. 27. 33. 15.
 10.  1. 19. 11.  3. 15. 25. 15.  9. 35.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]",1.4378241518785395,0.9792940263406398
Sequential,50,4,100,l-bfgs-b,True,1.1112342591529891,386.43407634697974,386.62802178081193,"[42. 26.  5. 19. 45. 31. 24. 48. 31. 15. 39. 27. 26. 42. 15. 24. 17. 41.
 19. 28. 23. 20. 49. 46. 11. 15. 13.  5. 40. 33. 19. 18. 31. 46.  9. 23.
 22. 38.  8. 24. 14.  2. 36. 26. 41. 14. 33. 42. 44. 11. 12. 37. 26. 30.
 19. 35. 47. 33. 24.  1. 18. 21. 22. 34. 36. 32. 49. 47. 15. 40.  7.  5.
 29.  6. 13. 30. 11. 34. 43.  5.  7. 35. 41. 49. 41. 38. 35.  4. 21. 22.
  7. 23.  3. 33. 35. 37. 13. 18. 22. 23.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]",1.4252045535389497,0.435566541631603
No Sequential,50,4,100,l-bfgs-b,True,0.9949209837991421,390.9635266800647,391.20600482348686,"[42. 26.  5. 19. 45. 31. 24. 48. 31. 15. 39. 27. 26. 42. 15. 24. 17. 41.
 19. 28. 23. 20. 49. 46. 11. 15. 13.  5. 40. 33. 19. 18. 31. 46.  9. 23.
 22. 38.  8. 24. 14.  2. 36. 26. 41. 14. 33. 42. 44. 11. 12. 37. 26. 30.
 19. 35. 47. 33. 24.  1. 18. 21. 22. 34. 36. 32. 49. 47. 15. 40.  7.  5.
 29.  6. 13. 30. 11. 34. 43.  5.  7. 35. 41. 49. 41. 38. 35.  4. 21. 22.
  7. 23.  3. 33. 35. 37. 13. 18. 22. 23.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]",1.4411343837301356,0.48995933920577506
Sequential,50,4,100,l-bfgs-b,True,1.8121267548623672,386.4065523847471,386.4150508398581,"[41. 21.  9.  5. 42.  6. 27. 36. 40.  7. 12. 46. 36. 16. 48. 24. 17. 28.
  4. 10. 22. 24.  7. 28.  0. 13.  6. 47. 13. 19. 42. 38. 26. 27. 15. 42.
 25. 10.  4.  6. 36. 39. 33. 41. 37.  4. 39. 45. 14. 41.  7. 45. 22. 18.
 28. 37. 30. 37.  4. 23.  6.  5. 46. 22. 24.  7. 11. 16. 24. 47. 48. 45.
 25. 46.  9. 49. 26.  2. 38. 32. 42. 25. 45.  9. 19. 16. 14. 32. 17. 30.
 40. 40. 44. 26. 41. 39. 33. 36. 46. 35.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]",1.440587602150423,0.20842500869539604
No Sequential,50,4,100,l-bfgs-b,True,1.7309710427117422,390.482268572765,390.4995556940079,"[41. 21.  9.  5. 42.  6. 27. 36. 40.  7. 12. 46. 36. 16. 48. 24. 17. 28.
  4. 10. 22. 24.  7. 28.  0. 13.  6. 47. 13. 19. 42. 38. 26. 27. 15. 42.
 25. 10.  4.  6. 36. 39. 33. 41. 37.  4. 39. 45. 14. 41.  7. 45. 22. 18.
 28. 37. 30. 37.  4. 23.  6.  5. 46. 22. 24.  7. 11. 16. 24. 47. 48. 45.
 25. 46.  9. 49. 26.  2. 38. 32. 42. 25. 45.  9. 19. 16. 14. 32. 17. 30.
 40. 40. 44. 26. 41. 39. 33. 36. 46. 35.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]",1.446298502229994,0.23137346779039802
