model,J,q_capacity,# consumers,method,success,beta1,fun_obj optimo,fun_obj,secuencialidad de elecciones,X_1
Sequential,50,3,100,l-bfgs-b,True,-0.3888508204625643,372.5249778286575,373.9531909428288,"[ 6.  7. 46. 48. 18.  6. 39. 18. 44. 35. 48. 19. 37. 45.  6.  8. 16. 27.
 37. 29. 28.  5. 37. 20. 43. 38.  9. 26. 46.  1.  5. 46. 38. 44. 28. 29.
 27. 20. 45.  4. 12. 42. 31. 43.  8. 18. 14. 35. 34.  8. 25. 43. 41. 26.
 35. 20. 44. 32. 32.  5. 16. 34. 22. 45. 19. 23. 29. 28. 39. 31. 15. 10.
  4. 23. 31. 32.  3. 21. 38.  4. 14. 47. 15. 47. 14. 12. 24. 36. 39. 33.
  7.  2. 15. 49. 41. 27. 34. 17. 25. 23.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]"
No Sequential,50,3,100,l-bfgs-b,True,-0.7296703600924329,391.0735356929073,392.8726444624799,"[ 6.  7. 46. 48. 18.  6. 39. 18. 44. 35. 48. 19. 37. 45.  6.  8. 16. 27.
 37. 29. 28.  5. 37. 20. 43. 38.  9. 26. 46.  1.  5. 46. 38. 44. 28. 29.
 27. 20. 45.  4. 12. 42. 31. 43.  8. 18. 14. 35. 34.  8. 25. 43. 41. 26.
 35. 20. 44. 32. 32.  5. 16. 34. 22. 45. 19. 23. 29. 28. 39. 31. 15. 10.
  4. 23. 31. 32.  3. 21. 38.  4. 14. 47. 15. 47. 14. 12. 24. 36. 39. 33.
  7.  2. 15. 49. 41. 27. 34. 17. 25. 23.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]"
Sequential,50,3,100,l-bfgs-b,True,2.5073340855760042,376.1708923977724,376.23045629592673,"[15. 48.  3. 17.  3. 31. 29. 40. 17.  6. 23. 35. 10. 20. 26.  3. 45. 40.
 25. 43. 37. 47.  7.  2. 48. 36. 25. 23. 12.  1. 43. 28. 46. 49. 23. 30.
  5. 16. 48. 28. 17. 49. 35. 43. 19. 41.  5. 46. 21. 18.  1.  2.  0. 46.
 24.  5. 42. 24. 24. 45.  4. 42. 44.  0. 38. 13. 14. 29.  4. 36. 47.  7.
 28. 18.  2. 14. 32.  8. 19.  9. 12. 10. 25. 47. 44. 45. 15. 37. 21. 15.
 19. 36. 21. 39.  1. 42. 32. 33. 30. 10.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]"
No Sequential,50,3,100,l-bfgs-b,True,1.765974800855619,390.452960523067,390.46603125622886,"[15. 48.  3. 17.  3. 31. 29. 40. 17.  6. 23. 35. 10. 20. 26.  3. 45. 40.
 25. 43. 37. 47.  7.  2. 48. 36. 25. 23. 12.  1. 43. 28. 46. 49. 23. 30.
  5. 16. 48. 28. 17. 49. 35. 43. 19. 41.  5. 46. 21. 18.  1.  2.  0. 46.
 24.  5. 42. 24. 24. 45.  4. 42. 44.  0. 38. 13. 14. 29.  4. 36. 47.  7.
 28. 18.  2. 14. 32.  8. 19.  9. 12. 10. 25. 47. 44. 45. 15. 37. 21. 15.
 19. 36. 21. 39.  1. 42. 32. 33. 30. 10.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]"
Sequential,50,3,100,l-bfgs-b,True,3.6590418553237676,376.23538197001704,376.8933239389155,"[46. 38.  4. 29. 35. 11.  9.  7. 45. 29.  1.  7. 15. 36. 27. 13. 33. 14.
 32. 27. 42. 48. 35.  1. 18. 38.  3.  5.  0. 32. 33. 32. 39. 17. 10. 19.
  8.  4. 46. 13. 46. 12. 12. 16. 13. 11. 27. 17.  2. 43. 38. 22. 20. 35.
 21. 34. 44.  6. 37. 48. 10. 24. 44.  1. 41. 28. 42. 16. 25. 10. 42. 30.
 25. 45. 14.  2. 36. 41. 30. 21. 20. 14. 30. 12. 31. 17. 26. 41. 37. 11.
 28. 22.  6.  0. 18.  7. 21. 19. 36. 37.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]"
No Sequential,50,3,100,l-bfgs-b,True,2.988666166795222,389.0773001642877,389.3077682695226,"[46. 38.  4. 29. 35. 11.  9.  7. 45. 29.  1.  7. 15. 36. 27. 13. 33. 14.
 32. 27. 42. 48. 35.  1. 18. 38.  3.  5.  0. 32. 33. 32. 39. 17. 10. 19.
  8.  4. 46. 13. 46. 12. 12. 16. 13. 11. 27. 17.  2. 43. 38. 22. 20. 35.
 21. 34. 44.  6. 37. 48. 10. 24. 44.  1. 41. 28. 42. 16. 25. 10. 42. 30.
 25. 45. 14.  2. 36. 41. 30. 21. 20. 14. 30. 12. 31. 17. 26. 41. 37. 11.
 28. 22.  6.  0. 18.  7. 21. 19. 36. 37.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]"
Sequential,50,3,100,l-bfgs-b,True,1.0183158447119005,376.3894628400524,376.61133026679516,"[43.  5. 40.  2. 11. 22. 17. 46. 39. 24. 24. 43. 25. 14. 42. 11. 45.  4.
  5. 22. 26. 23.  3. 19. 36. 10. 13. 15. 41.  0. 15.  0. 12.  4. 12. 40.
  4. 38. 20. 46. 12. 36. 45. 20. 27.  6. 40. 26.  2. 46. 26. 10. 35. 20.
 33. 14.  3. 14. 41. 47. 11.  9. 36. 10. 30. 44. 48. 41. 17. 18. 35. 45.
 49. 39. 48.  1. 31.  7. 19. 16. 23.  2. 35. 18.  3. 15. 47. 30. 37.  1.
 30. 32.  5. 23. 44. 32. 48. 42. 44.  7.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]"
No Sequential,50,3,100,l-bfgs-b,True,0.7780177687823012,391.05621084022675,391.4151379611466,"[43.  5. 40.  2. 11. 22. 17. 46. 39. 24. 24. 43. 25. 14. 42. 11. 45.  4.
  5. 22. 26. 23.  3. 19. 36. 10. 13. 15. 41.  0. 15.  0. 12.  4. 12. 40.
  4. 38. 20. 46. 12. 36. 45. 20. 27.  6. 40. 26.  2. 46. 26. 10. 35. 20.
 33. 14.  3. 14. 41. 47. 11.  9. 36. 10. 30. 44. 48. 41. 17. 18. 35. 45.
 49. 39. 48.  1. 31.  7. 19. 16. 23.  2. 35. 18.  3. 15. 47. 30. 37.  1.
 30. 32.  5. 23. 44. 32. 48. 42. 44.  7.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]"
Sequential,50,3,100,l-bfgs-b,True,2.9676058424509697,373.4265206630297,373.64672316488253,"[37.  6. 17. 45. 48. 35.  6. 49. 13. 33. 23. 39. 37.  5.  8. 21. 23.  7.
 34. 13. 39. 38. 36. 42. 33. 18. 45. 46. 24.  0. 13. 35.  4. 45. 43. 37.
 40. 11. 19. 40. 48. 48. 21. 10.  9. 34. 21. 41. 47. 32. 36. 34.  5. 23.
 38. 36. 35. 26. 18. 24.  9. 10. 26. 26. 15. 11. 12. 33. 14. 20. 43.  1.
 25. 12. 42. 15.  9. 43. 19. 32. 47. 40. 20. 16. 39. 47.  5. 27. 25. 17.
  4.  7.  8. 20. 18. 27.  2. 28. 12. 28.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]"
No Sequential,50,3,100,l-bfgs-b,True,2.0857382903478072,390.1593152867673,390.1610651239122,"[37.  6. 17. 45. 48. 35.  6. 49. 13. 33. 23. 39. 37.  5.  8. 21. 23.  7.
 34. 13. 39. 38. 36. 42. 33. 18. 45. 46. 24.  0. 13. 35.  4. 45. 43. 37.
 40. 11. 19. 40. 48. 48. 21. 10.  9. 34. 21. 41. 47. 32. 36. 34.  5. 23.
 38. 36. 35. 26. 18. 24.  9. 10. 26. 26. 15. 11. 12. 33. 14. 20. 43.  1.
 25. 12. 42. 15.  9. 43. 19. 32. 47. 40. 20. 16. 39. 47.  5. 27. 25. 17.
  4.  7.  8. 20. 18. 27.  2. 28. 12. 28.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]"
Sequential,50,3,100,l-bfgs-b,True,1.1861197387903313,376.63233455696945,376.7881164094753,"[25. 41. 40. 28. 17.  7. 27.  6. 46. 11. 14. 49. 23. 29. 14. 48. 39. 40.
 14. 11. 19. 30. 32. 36. 46. 44.  9. 48. 46.  5. 19.  6. 21. 19. 15. 10.
 18. 24. 29. 49. 27. 12. 45. 26.  2.  8. 44. 35. 37. 39. 34. 42. 16. 35.
 22. 11. 15. 47. 49. 25.  5. 16. 23.  6. 35. 21.  2. 25.  5. 21. 10.  1.
 48. 24.  3. 30.  9.  9. 15. 23.  0. 32. 20. 41.  0.  8. 10.  1. 24. 32.
  8. 47. 41. 26.  7. 17.  1. 16. 39. 37.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]"
No Sequential,50,3,100,l-bfgs-b,True,0.38345879857879417,391.1667597015805,391.79593708645336,"[25. 41. 40. 28. 17.  7. 27.  6. 46. 11. 14. 49. 23. 29. 14. 48. 39. 40.
 14. 11. 19. 30. 32. 36. 46. 44.  9. 48. 46.  5. 19.  6. 21. 19. 15. 10.
 18. 24. 29. 49. 27. 12. 45. 26.  2.  8. 44. 35. 37. 39. 34. 42. 16. 35.
 22. 11. 15. 47. 49. 25.  5. 16. 23.  6. 35. 21.  2. 25.  5. 21. 10.  1.
 48. 24.  3. 30.  9.  9. 15. 23.  0. 32. 20. 41.  0.  8. 10.  1. 24. 32.
  8. 47. 41. 26.  7. 17.  1. 16. 39. 37.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]"
Sequential,50,3,100,l-bfgs-b,True,2.751365041547177,376.9355765077075,377.0680414721833,"[11. 35.  2. 30. 36. 20. 32. 17. 47. 31. 25. 34. 18. 37. 26.  1.  2. 48.
 40. 42. 13.  6. 29.  4. 44. 35. 13.  5. 36. 14. 18. 27. 37.  7.  7. 24.
 35. 45. 33. 44. 37. 42. 23. 42. 19.  6. 43. 21. 44. 20.  0. 18. 27. 11.
 47.  9. 15. 33. 22. 25.  1.  0. 38. 34.  2. 29. 29. 46. 41. 46. 46. 21.
 27. 12.  8. 24. 13. 43. 38. 38. 21.  7.  3. 36. 10. 25.  5.  3. 17. 33.
  3. 24. 16. 41. 22. 26. 26. 45. 30.  5.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]"
No Sequential,50,3,100,l-bfgs-b,True,2.205745889974298,390.0368750007084,390.0469404797835,"[11. 35.  2. 30. 36. 20. 32. 17. 47. 31. 25. 34. 18. 37. 26.  1.  2. 48.
 40. 42. 13.  6. 29.  4. 44. 35. 13.  5. 36. 14. 18. 27. 37.  7.  7. 24.
 35. 45. 33. 44. 37. 42. 23. 42. 19.  6. 43. 21. 44. 20.  0. 18. 27. 11.
 47.  9. 15. 33. 22. 25.  1.  0. 38. 34.  2. 29. 29. 46. 41. 46. 46. 21.
 27. 12.  8. 24. 13. 43. 38. 38. 21.  7.  3. 36. 10. 25.  5.  3. 17. 33.
  3. 24. 16. 41. 22. 26. 26. 45. 30.  5.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]"
Sequential,50,3,100,l-bfgs-b,True,-0.698033394067385,379.0280646451645,380.7777060584992,"[ 3. 47.  8. 33.  8. 25. 34. 22. 11. 24. 48. 18. 30. 37.  0. 19. 18. 40.
  2.  9. 11.  2.  7. 42. 29. 15. 36. 21. 19. 26. 29. 48. 40. 10. 33. 35.
 39. 32. 27. 15. 48. 31.  1. 24. 28.  5.  0. 32. 28. 17.  2. 30. 34. 22.
 23.  3. 29.  6.  0. 43. 30. 18. 19. 16. 31.  3.  4.  4. 10. 25. 14. 44.
 46. 47. 38. 11. 10. 31. 34. 22. 47. 20.  1. 43. 43. 15. 33. 27. 41. 13.
 38. 35. 45. 49. 23.  8. 16. 32. 12. 27.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]"
No Sequential,50,3,100,l-bfgs-b,True,-0.6865856425241117,391.0882901597871,392.8309733950986,"[ 3. 47.  8. 33.  8. 25. 34. 22. 11. 24. 48. 18. 30. 37.  0. 19. 18. 40.
  2.  9. 11.  2.  7. 42. 29. 15. 36. 21. 19. 26. 29. 48. 40. 10. 33. 35.
 39. 32. 27. 15. 48. 31.  1. 24. 28.  5.  0. 32. 28. 17.  2. 30. 34. 22.
 23.  3. 29.  6.  0. 43. 30. 18. 19. 16. 31.  3.  4.  4. 10. 25. 14. 44.
 46. 47. 38. 11. 10. 31. 34. 22. 47. 20.  1. 43. 43. 15. 33. 27. 41. 13.
 38. 35. 45. 49. 23.  8. 16. 32. 12. 27.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198]"
