P_0,P_1,P_2,P_3,P_4,P_5
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
0.999998,2e-06,0.0,0.0,0.0,0.0
0.999992,8e-06,0.0,0.0,0.0,0.0
0.99998,2e-05,0.0,0.0,0.0,0.0
0.999948,5.2e-05,0.0,0.0,0.0,0.0
0.999861,0.000139,0.0,0.0,0.0,0.0
0.999652,0.000348,0.0,0.0,0.0,0.0
0.999274,0.000726,0.0,0.0,0.0,0.0
0.998602,0.001398,0.0,0.0,0.0,0.0
0.997482,0.002518,0.0,0.0,0.0,0.0
0.995611,0.004389,0.0,0.0,0.0,0.0
0.992752,0.007248,0.0,0.0,0.0,0.0
0.988536,0.011464,0.0,0.0,0.0,0.0
0.982446,0.017554,0.0,0.0,0.0,0.0
0.974525,0.025475,0.0,0.0,0.0,0.0
0.963989,0.036011,0.0,0.0,0.0,0.0
0.95015,0.04985,0.0,0.0,0.0,0.0
0.933008,0.066992,0.0,0.0,0.0,0.0
0.911921,0.088079,0.0,0.0,0.0,0.0
0.887549,0.112451,0.0,0.0,0.0,0.0
0.859196,0.140804,0.0,0.0,0.0,0.0
0.826529,0.173471,0.0,0.0,0.0,0.0
0.79041,0.20959,0.0,0.0,0.0,0.0
0.751102,0.248898,0.0,0.0,0.0,0.0
0.70912,0.29088,0.0,0.0,0.0,0.0
0.665149,0.334851,0.0,0.0,0.0,0.0
0.61936,0.38064,0.0,0.0,0.0,0.0
0.572767,0.427233,0.0,0.0,0.0,0.0
0.526126,0.473874,0.0,0.0,0.0,0.0
0.479897,0.520103,0.0,0.0,0.0,0.0
0.434318,0.565682,0.0,0.0,0.0,0.0
0.390715,0.609285,0.0,0.0,0.0,0.0
0.348768,0.651232,0.0,0.0,0.0,0.0
0.309553,0.690446,1e-06,0.0,0.0,0.0
0.272595,0.727404,1e-06,0.0,0.0,0.0
0.238478,0.761521,1e-06,0.0,0.0,0.0
0.207129,0.792867,4e-06,0.0,0.0,0.0
0.178955,0.821034,1.1e-05,0.0,0.0,0.0
0.153412,0.846567,2.1e-05,0.0,0.0,0.0
0.130623,0.869344,3.3e-05,0.0,0.0,0.0
0.110715,0.889216,6.9e-05,0.0,0.0,0.0
0.09327,0.906617,0.000113,0.0,0.0,0.0
0.078209,0.921599,0.000192,0.0,0.0,0.0
0.06498,0.93471,0.00031,0.0,0.0,0.0
0.05384,0.945689,0.000471,0.0,0.0,0.0
0.044412,0.954853,0.000735,0.0,0.0,0.0
0.03644,0.962461,0.001099,0.0,0.0,0.0
0.029658,0.968704,0.001638,0.0,0.0,0.0
0.02398,0.973644,0.002376,0.0,0.0,0.0
0.019295,0.977259,0.003446,0.0,0.0,0.0
0.015591,0.979603,0.004806,0.0,0.0,0.0
0.012394,0.980994,0.006612,0.0,0.0,0.0
0.009912,0.98106,0.009028,0.0,0.0,0.0
0.007856,0.98003,0.012114,0.0,0.0,0.0
0.0062,0.977795,0.016005,0.0,0.0,0.0
0.004835,0.974414,0.020751,0.0,0.0,0.0
0.003764,0.969658,0.026578,0.0,0.0,0.0
0.002888,0.96338,0.033731,1e-06,0.0,0.0
0.00219,0.95547,0.04233,1e-05,0.0,0.0
0.001664,0.94579,0.052527,1.9e-05,0.0,0.0
0.001267,0.934367,0.064328,3.8e-05,0.0,0.0
0.000933,0.920472,0.07852,7.5e-05,0.0,0.0
0.000701,0.904668,0.094475,0.000156,0.0,0.0
0.000494,0.886352,0.112868,0.000286,0.0,0.0
0.000378,0.8657,0.133403,0.000519,0.0,0.0
0.000254,0.842398,0.156409,0.000939,0.0,0.0
0.00017,0.816398,0.181864,0.001568,0.0,0.0
0.000136,0.787799,0.209405,0.00266,0.0,0.0
9.5e-05,0.756236,0.239358,0.004311,0.0,0.0
6.3e-05,0.721626,0.271674,0.006637,0.0,0.0
3.8e-05,0.684895,0.305109,0.009958,0.0,0.0
2.6e-05,0.645707,0.339606,0.014661,0.0,0.0
1.9e-05,0.604342,0.374502,0.021137,0.0,0.0
