model,J,q_capacity,# consumers,method,success,beta1,fun_obj optimo,fun_obj,secuencialidad de elecciones,X_1
Sequential,100,1,100,l-bfgs-b,True,2.137079195197326,362.692207038651,362.6965095542592,"[81. 50. 36. 45.  2. 39. 44. 69. 67. 97. 86. 20. 21. 23. 96. 28. 19. 99.
 80. 37. 75. 93.  9. 59. 95. 58. 87. 14. 77. 41. 82.  0. 78. 48. 94. 71.
 92. 68. 32.  6. 17. 55. 65. 70. 73. 18. 72. 40. 90. 64. 11. 12.  5. 98.
 42. 57. 74. 91. 54. 53. 38. 15.  7. 33. 63. 56. 24. 76. 66. 16. 88. 35.
 10. 30. 79. 25. 13. 34.  3.  4. 47. 62.  8. 61. 89. 29. 51. 46. 26. 52.
 22. 83. 84. 60. 31. 43.  1. 49. 27. 85.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]"
No Sequential,100,1,100,l-bfgs-b,True,2.5746302321187284e-05,460.5170185989617,461.4326943962656,"[81. 50. 36. 45.  2. 39. 44. 69. 67. 97. 86. 20. 21. 23. 96. 28. 19. 99.
 80. 37. 75. 93.  9. 59. 95. 58. 87. 14. 77. 41. 82.  0. 78. 48. 94. 71.
 92. 68. 32.  6. 17. 55. 65. 70. 73. 18. 72. 40. 90. 64. 11. 12.  5. 98.
 42. 57. 74. 91. 54. 53. 38. 15.  7. 33. 63. 56. 24. 76. 66. 16. 88. 35.
 10. 30. 79. 25. 13. 34.  3.  4. 47. 62.  8. 61. 89. 29. 51. 46. 26. 52.
 22. 83. 84. 60. 31. 43.  1. 49. 27. 85.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]"
Sequential,100,1,100,l-bfgs-b,True,3.010063412565464,361.66577205832647,361.8988846202335,"[75.  5. 15. 43. 33.  7. 82. 99. 20. 56. 48. 44. 96. 13. 31. 27. 21. 46.
  0. 50. 65. 11. 63. 88. 85. 42. 79. 78. 69. 30. 45. 92. 72. 77.  8.  9.
  3. 97. 95. 47. 35. 81. 59. 41. 25. 93. 91. 24. 87. 36. 90. 38. 60. 51.
 34. 53. 28. 73. 23. 70. 74. 52. 18. 26.  4. 10. 17. 19. 16. 12. 76. 58.
 61. 37. 80. 40. 67. 89. 32. 66.  1. 29. 39. 68. 55. 49. 54.  2. 62. 22.
 86. 71.  6. 64. 83. 14. 98. 84. 94. 57.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]"
No Sequential,100,1,100,l-bfgs-b,True,2.3823949315950575e-05,460.51701859893967,461.43269439626556,"[75.  5. 15. 43. 33.  7. 82. 99. 20. 56. 48. 44. 96. 13. 31. 27. 21. 46.
  0. 50. 65. 11. 63. 88. 85. 42. 79. 78. 69. 30. 45. 92. 72. 77.  8.  9.
  3. 97. 95. 47. 35. 81. 59. 41. 25. 93. 91. 24. 87. 36. 90. 38. 60. 51.
 34. 53. 28. 73. 23. 70. 74. 52. 18. 26.  4. 10. 17. 19. 16. 12. 76. 58.
 61. 37. 80. 40. 67. 89. 32. 66.  1. 29. 39. 68. 55. 49. 54.  2. 62. 22.
 86. 71.  6. 64. 83. 14. 98. 84. 94. 57.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]"
Sequential,100,1,100,l-bfgs-b,True,2.4315999992316937,362.48838646974343,362.52761883994566,"[35.  0. 99.  7.  6. 80. 22. 48.  4.  5. 47. 69. 12. 81. 58. 30. 19. 74.
 83. 55. 45. 92. 23. 73. 88. 93.  3. 24. 29. 44. 62. 87. 66. 77. 50. 95.
 76. 15. 13. 60. 38. 18. 64. 70. 16. 98. 72. 97. 49. 21. 28. 42. 20. 10.
 85. 17. 33. 51. 91. 14.  8. 11. 63. 27. 32. 57. 78. 86. 52. 89. 82. 46.
 94. 40. 36.  1. 26. 41. 56. 54. 61. 96. 43. 71. 90. 75. 25. 79.  9. 53.
 31. 37. 59. 39.  2. 34. 65. 67. 84. 68.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]"
No Sequential,100,1,100,l-bfgs-b,True,8.175851507644626e-05,460.5170186003482,461.43269439626545,"[35.  0. 99.  7.  6. 80. 22. 48.  4.  5. 47. 69. 12. 81. 58. 30. 19. 74.
 83. 55. 45. 92. 23. 73. 88. 93.  3. 24. 29. 44. 62. 87. 66. 77. 50. 95.
 76. 15. 13. 60. 38. 18. 64. 70. 16. 98. 72. 97. 49. 21. 28. 42. 20. 10.
 85. 17. 33. 51. 91. 14.  8. 11. 63. 27. 32. 57. 78. 86. 52. 89. 82. 46.
 94. 40. 36.  1. 26. 41. 56. 54. 61. 96. 43. 71. 90. 75. 25. 79.  9. 53.
 31. 37. 59. 39.  2. 34. 65. 67. 84. 68.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]"
Sequential,100,1,100,l-bfgs-b,True,-0.49216628334348667,363.6890406833975,364.9730964317508,"[36. 92. 28. 33. 50. 51. 11. 13. 25. 78. 47. 17.  7. 93. 42. 63. 21. 43.
  4. 32. 76. 86. 31. 16. 30. 22. 56. 89. 52. 84. 58. 18. 60.  5. 37. 64.
 55. 23. 82. 94. 80. 19.  6. 54. 73. 99. 45. 83.  0. 97. 75. 44. 77. 68.
 48. 91. 98.  2. 57. 69. 41. 10. 95. 27. 49. 85. 12. 35. 62. 53. 61. 65.
 72. 34. 15. 66.  1. 24. 20.  9. 38. 40.  3. 71. 59. 96. 87. 81. 79. 29.
 26. 88. 39. 74. 46. 67.  8. 90. 70. 14.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]"
No Sequential,100,1,100,l-bfgs-b,True,-1.9423722365918134e-06,460.5170185988098,461.43269439626545,"[36. 92. 28. 33. 50. 51. 11. 13. 25. 78. 47. 17.  7. 93. 42. 63. 21. 43.
  4. 32. 76. 86. 31. 16. 30. 22. 56. 89. 52. 84. 58. 18. 60.  5. 37. 64.
 55. 23. 82. 94. 80. 19.  6. 54. 73. 99. 45. 83.  0. 97. 75. 44. 77. 68.
 48. 91. 98.  2. 57. 69. 41. 10. 95. 27. 49. 85. 12. 35. 62. 53. 61. 65.
 72. 34. 15. 66.  1. 24. 20.  9. 38. 40.  3. 71. 59. 96. 87. 81. 79. 29.
 26. 88. 39. 74. 46. 67.  8. 90. 70. 14.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]"
Sequential,100,1,100,l-bfgs-b,True,1.7514152946515515,363.04890790192866,363.06271918338547,"[62.  5. 85. 49. 63. 94. 91. 73. 12.  6. 50. 84. 26. 14. 68. 69. 23. 35.
 77. 80. 95. 42. 25. 29. 83. 78. 17. 15. 82. 16. 71. 19. 10. 52. 81.  8.
 70. 79. 75. 61. 59. 13. 41. 27. 54. 65.  1. 87. 28. 89. 33. 46. 55. 47.
 88. 60. 58. 18. 74. 31. 21. 96. 38. 93. 36. 32. 92. 48.  4.  7. 72. 34.
 97.  9. 20. 99. 86. 57. 53. 90.  3. 40. 45. 22. 98. 43. 56. 67.  2. 11.
 24. 51. 39. 37. 44.  0. 66. 30. 64. 76.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]"
No Sequential,100,1,100,l-bfgs-b,True,5.5173189215690366e-05,460.51701859951015,461.4326943962657,"[62.  5. 85. 49. 63. 94. 91. 73. 12.  6. 50. 84. 26. 14. 68. 69. 23. 35.
 77. 80. 95. 42. 25. 29. 83. 78. 17. 15. 82. 16. 71. 19. 10. 52. 81.  8.
 70. 79. 75. 61. 59. 13. 41. 27. 54. 65.  1. 87. 28. 89. 33. 46. 55. 47.
 88. 60. 58. 18. 74. 31. 21. 96. 38. 93. 36. 32. 92. 48.  4.  7. 72. 34.
 97.  9. 20. 99. 86. 57. 53. 90.  3. 40. 45. 22. 98. 43. 56. 67.  2. 11.
 24. 51. 39. 37. 44.  0. 66. 30. 64. 76.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]"
