model,J,q_capacity,# consumers,method,success,beta1,fun_obj optimo,fun_obj,secuencialidad de elecciones,X_1
Sequential,100,50,100,l-bfgs-b,True,0.6467179017766526,460.42104286409426,460.83849052578614,"[35. 43. 70. 37.  1.  1. 13. 25. 12. 91. 42. 54. 73. 70.  5. 58.  5. 84.
 72. 87. 92.  3.  1.  1. 20. 23. 70. 75. 35. 81. 70. 61. 95.  3. 66. 11.
 94. 26. 90. 73.  6. 72. 22. 25. 54. 29. 62. 90. 90. 58. 59. 98. 66. 29.
 83. 73. 75. 31. 95.  5. 87.  0. 52. 86. 32.  8. 78. 40. 16.  8. 83. 43.
  8. 90. 42. 81. 47. 88. 88.  8.  1. 89. 19. 69. 69. 68. 13. 50. 45. 53.
 37.  9. 44. 26. 89. 84. 71. 18. 98. 42.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]"
No Sequential,100,50,100,l-bfgs-b,True,0.6467179017766526,460.42104286409426,460.83849052578614,"[35. 43. 70. 37.  1.  1. 13. 25. 12. 91. 42. 54. 73. 70.  5. 58.  5. 84.
 72. 87. 92.  3.  1.  1. 20. 23. 70. 75. 35. 81. 70. 61. 95.  3. 66. 11.
 94. 26. 90. 73.  6. 72. 22. 25. 54. 29. 62. 90. 90. 58. 59. 98. 66. 29.
 83. 73. 75. 31. 95.  5. 87.  0. 52. 86. 32.  8. 78. 40. 16.  8. 83. 43.
  8. 90. 42. 81. 47. 88. 88.  8.  1. 89. 19. 69. 69. 68. 13. 50. 45. 53.
 37.  9. 44. 26. 89. 84. 71. 18. 98. 42.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]"
Sequential,100,50,100,l-bfgs-b,True,2.7602015239964826,458.80013860513236,458.9289552722872,"[ 9. 30. 39. 78. 42. 50. 51. 75. 58. 68. 35. 26. 72. 64. 84. 65. 53. 37.
 12. 16. 12. 48. 97. 12. 39. 52. 13. 20. 59. 74. 27. 52.  3. 54. 80. 36.
 27. 34. 32.  4. 38. 33. 78. 48. 61. 55. 48. 10. 60. 35. 80. 61. 30.  4.
 47. 57. 55.  1. 17.  0.  3.  2. 49. 63. 29. 49. 47. 79. 75. 52. 46. 81.
 82. 46.  8. 61. 18. 89. 77. 91. 63. 21. 93. 95. 12. 85. 27.  1. 36. 65.
 68. 35. 36. 52. 56. 48. 52. 90. 42. 61.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]"
No Sequential,100,50,100,l-bfgs-b,True,2.7602015239964826,458.80013860513236,458.9289552722872,"[ 9. 30. 39. 78. 42. 50. 51. 75. 58. 68. 35. 26. 72. 64. 84. 65. 53. 37.
 12. 16. 12. 48. 97. 12. 39. 52. 13. 20. 59. 74. 27. 52.  3. 54. 80. 36.
 27. 34. 32.  4. 38. 33. 78. 48. 61. 55. 48. 10. 60. 35. 80. 61. 30.  4.
 47. 57. 55.  1. 17.  0.  3.  2. 49. 63. 29. 49. 47. 79. 75. 52. 46. 81.
 82. 46.  8. 61. 18. 89. 77. 91. 63. 21. 93. 95. 12. 85. 27.  1. 36. 65.
 68. 35. 36. 52. 56. 48. 52. 90. 42. 61.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]"
Sequential,100,50,100,l-bfgs-b,True,3.4732097451569883,457.822324399655,458.30130658788073,"[ 0. 51. 26. 82. 90.  8. 61. 91. 89. 98. 43. 46. 67. 67. 33. 97. 73. 24.
 66. 39. 63. 89. 23. 56. 36. 21. 59.  5. 43. 66. 93. 61. 47. 88. 73. 13.
 91. 62. 80. 86. 47. 74.  8. 18. 85. 60. 81. 45. 61. 92. 58. 99.  6.  7.
 74. 25. 66. 99. 83. 35. 45. 12. 35. 86. 83. 27. 67. 46. 16. 18. 18. 70.
 19. 83.  1.  4. 16. 43. 56.  5. 32. 90. 32. 20. 14. 43. 81. 54. 13.  1.
 34. 62. 72. 63. 79. 22. 13. 91.  1. 75.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]"
No Sequential,100,50,100,l-bfgs-b,True,3.4732097451569883,457.822324399655,458.30130658788073,"[ 0. 51. 26. 82. 90.  8. 61. 91. 89. 98. 43. 46. 67. 67. 33. 97. 73. 24.
 66. 39. 63. 89. 23. 56. 36. 21. 59.  5. 43. 66. 93. 61. 47. 88. 73. 13.
 91. 62. 80. 86. 47. 74.  8. 18. 85. 60. 81. 45. 61. 92. 58. 99.  6.  7.
 74. 25. 66. 99. 83. 35. 45. 12. 35. 86. 83. 27. 67. 46. 16. 18. 18. 70.
 19. 83.  1.  4. 16. 43. 56.  5. 32. 90. 32. 20. 14. 43. 81. 54. 13.  1.
 34. 62. 72. 63. 79. 22. 13. 91.  1. 75.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]"
Sequential,100,50,100,l-bfgs-b,True,2.4309553814697646,459.180447336256,459.2220197157331,"[21.  3. 51. 69. 62. 77. 36.  3. 55. 19. 41.  2. 16. 42. 26. 61. 18. 10.
 76. 28. 59. 70. 59. 45. 14. 99. 84. 80. 19. 45. 43.  6. 91. 94. 73. 62.
 90. 29. 26. 57. 90. 90. 43. 50. 63. 38. 83. 35. 82. 13.  7.  5. 25. 87.
 73. 35. 18. 12. 71. 11. 24. 23. 78. 30.  4. 42. 16. 53. 48. 83.  8. 54.
 91. 33.  1. 83. 53. 46. 18. 14. 30. 44. 50. 62. 66. 45. 57.  1. 75. 35.
 68. 10. 87. 76. 13. 88. 34. 23.  8. 70.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]"
No Sequential,100,50,100,l-bfgs-b,True,2.4309553814697646,459.180447336256,459.2220197157331,"[21.  3. 51. 69. 62. 77. 36.  3. 55. 19. 41.  2. 16. 42. 26. 61. 18. 10.
 76. 28. 59. 70. 59. 45. 14. 99. 84. 80. 19. 45. 43.  6. 91. 94. 73. 62.
 90. 29. 26. 57. 90. 90. 43. 50. 63. 38. 83. 35. 82. 13.  7.  5. 25. 87.
 73. 35. 18. 12. 71. 11. 24. 23. 78. 30.  4. 42. 16. 53. 48. 83.  8. 54.
 91. 33.  1. 83. 53. 46. 18. 14. 30. 44. 50. 62. 66. 45. 57.  1. 75. 35.
 68. 10. 87. 76. 13. 88. 34. 23.  8. 70.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]"
Sequential,100,50,100,l-bfgs-b,True,2.56021259922827,459.036555739471,459.10670210196554,"[44. 82. 93. 66. 39. 99. 69. 97. 90. 78. 17. 88.  7. 65. 20. 68. 25. 86.
  5. 12. 91. 15. 74. 20. 33. 76. 49. 18. 45. 19. 69. 52.  5.  1. 10. 83.
 65. 42. 81. 99. 79. 61. 11. 35. 55. 56. 56. 57. 92. 79. 45. 92. 95. 72.
 56. 43. 77. 27. 58. 61. 76. 24. 96. 75. 45. 56. 16. 11. 52. 84. 68. 42.
 38. 59. 61. 73. 36.  1. 15. 33. 56. 15. 79. 78. 63. 54. 94. 29.  0. 63.
 35. 46.  2.  6. 94. 80. 88. 27. 64. 82.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]"
No Sequential,100,50,100,l-bfgs-b,True,2.56021259922827,459.036555739471,459.10670210196554,"[44. 82. 93. 66. 39. 99. 69. 97. 90. 78. 17. 88.  7. 65. 20. 68. 25. 86.
  5. 12. 91. 15. 74. 20. 33. 76. 49. 18. 45. 19. 69. 52.  5.  1. 10. 83.
 65. 42. 81. 99. 79. 61. 11. 35. 55. 56. 56. 57. 92. 79. 45. 92. 95. 72.
 56. 43. 77. 27. 58. 61. 76. 24. 96. 75. 45. 56. 16. 11. 52. 84. 68. 42.
 38. 59. 61. 73. 36.  1. 15. 33. 56. 15. 79. 78. 63. 54. 94. 29.  0. 63.
 35. 46.  2.  6. 94. 80. 88. 27. 64. 82.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]"
