model,J,q_capacity,# consumers,method,success,beta1,fun_obj optimo,fun_obj,secuencialidad de elecciones,X_1,std_error_beta1,p_value_beta1
Sequential,100,20,100,l-bfgs-b,True,1.5221074902215712,459.98848193462584,460.0401235068617,"[65. 31. 38. 36. 51. 78. 59. 96. 59. 15. 37. 35. 99. 18. 99. 58. 57. 20.
 21. 36.  1.  1. 77. 83. 59.  7. 27. 23. 54. 67. 87. 68. 42. 61. 95. 99.
 51. 18. 77. 96. 72. 88. 41. 14. 82. 28. 56. 40. 86.  5. 71. 12. 66. 83.
 57. 88. 66. 83. 29. 36. 22. 41. 96. 45. 67. 61. 61. 79. 57. 81. 47. 68.
 42. 72. 56. 94. 81. 30. 10. 30.  7. 85. 84. 25. 44. 62. 11. 51. 33. 56.
 75.  7. 73. 57. 38. 60. 76. 11.  7. 69.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]",1.4851366435571889,0.30541325205182024
No Sequential,100,20,100,l-bfgs-b,True,1.5221074902215712,459.98848193462584,460.0401235068617,"[65. 31. 38. 36. 51. 78. 59. 96. 59. 15. 37. 35. 99. 18. 99. 58. 57. 20.
 21. 36.  1.  1. 77. 83. 59.  7. 27. 23. 54. 67. 87. 68. 42. 61. 95. 99.
 51. 18. 77. 96. 72. 88. 41. 14. 82. 28. 56. 40. 86.  5. 71. 12. 66. 83.
 57. 88. 66. 83. 29. 36. 22. 41. 96. 45. 67. 61. 61. 79. 57. 81. 47. 68.
 42. 72. 56. 94. 81. 30. 10. 30.  7. 85. 84. 25. 44. 62. 11. 51. 33. 56.
 75.  7. 73. 57. 38. 60. 76. 11.  7. 69.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]",1.4851366435571889,0.30541325205182024
Sequential,100,20,100,l-bfgs-b,True,3.602951010088179,457.6222047337903,458.18818714171005,"[18. 49. 89. 90. 80. 77. 36. 70. 94. 38. 17. 50. 72. 49. 52. 42. 10. 21.
 78. 13. 39. 42. 10. 23. 76.  7. 51. 74. 41. 68. 14. 80. 31. 46.  8. 50.
 14. 34. 73. 11. 70. 43.  7. 76. 35. 21. 99. 46. 54. 47. 29. 46. 80. 29.
 81. 91.  5. 90. 58. 55. 58. 17. 63. 79. 76. 46. 84. 67. 86. 90. 50. 41.
 53. 55.  4. 82. 62. 89. 75. 53. 95. 14. 63. 71. 20. 75. 67. 79. 89. 52.
 95. 91. 48. 14. 79. 23.  7. 74. 80. 23.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]",1.51618926444735,0.017486286372964344
No Sequential,100,20,100,l-bfgs-b,True,3.602951010088179,457.6222047337903,458.18818714171005,"[18. 49. 89. 90. 80. 77. 36. 70. 94. 38. 17. 50. 72. 49. 52. 42. 10. 21.
 78. 13. 39. 42. 10. 23. 76.  7. 51. 74. 41. 68. 14. 80. 31. 46.  8. 50.
 14. 34. 73. 11. 70. 43.  7. 76. 35. 21. 99. 46. 54. 47. 29. 46. 80. 29.
 81. 91.  5. 90. 58. 55. 58. 17. 63. 79. 76. 46. 84. 67. 86. 90. 50. 41.
 53. 55.  4. 82. 62. 89. 75. 53. 95. 14. 63. 71. 20. 75. 67. 79. 89. 52.
 95. 91. 48. 14. 79. 23.  7. 74. 80. 23.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]",1.51618926444735,0.017486286372964344
Sequential,100,20,100,l-bfgs-b,True,4.711193571868535,455.6495331271075,457.23848609125656,"[47. 85. 26. 57. 94. 68.  8. 19.  7. 78. 81. 82. 51. 18. 55. 81. 90. 90.
 74. 86.  4. 59. 11. 17. 36. 50. 97. 35. 39. 13. 30. 94. 97. 26. 56. 71.
 74. 97. 58. 80. 88. 94. 59. 41. 74. 22. 97. 36. 78. 61. 90. 49. 14. 66.
 17. 22. 66.  7. 67. 25. 46. 73. 23. 33. 89. 61. 42. 15. 79. 46. 48. 55.
 62. 36.  6. 12. 81. 19. 35. 70. 16. 89.  7. 87. 49. 64. 82. 33. 55. 47.
 48. 62. 96. 87. 58. 36. 95. 74.  0. 84.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]",1.5398293797883877,0.0022166565283330275
No Sequential,100,20,100,l-bfgs-b,True,4.711193571868535,455.6495331271075,457.23848609125656,"[47. 85. 26. 57. 94. 68.  8. 19.  7. 78. 81. 82. 51. 18. 55. 81. 90. 90.
 74. 86.  4. 59. 11. 17. 36. 50. 97. 35. 39. 13. 30. 94. 97. 26. 56. 71.
 74. 97. 58. 80. 88. 94. 59. 41. 74. 22. 97. 36. 78. 61. 90. 49. 14. 66.
 17. 22. 66.  7. 67. 25. 46. 73. 23. 33. 89. 61. 42. 15. 79. 46. 48. 55.
 62. 36.  6. 12. 81. 19. 35. 70. 16. 89.  7. 87. 49. 64. 82. 33. 55. 47.
 48. 62. 96. 87. 58. 36. 95. 74.  0. 84.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]",1.5398293797883877,0.0022166565283330275
Sequential,100,20,100,l-bfgs-b,True,-0.3253296286622663,460.49261344490793,461.7326508588946,"[76. 42. 30. 76. 75. 44. 75. 21. 40. 34. 29. 92. 63. 90. 16. 30. 33. 42.
 74. 84. 37. 26. 22. 27.  9. 89. 41. 90. 32. 85. 64. 26. 14. 28. 95. 98.
  0. 14. 21.  8. 53. 57. 69. 48. 89. 61. 73. 38. 74. 38. 25. 56.  7. 73.
  2. 23. 27.  8. 21.  6. 13. 34. 94. 30. 21.  4. 40. 89. 67. 73. 99.  6.
 40. 62. 23. 79. 91. 50. 43. 84. 68. 82. 29. 16. 68. 38. 43. 62. 81.  1.
 42. 21. 99.  7. 38. 81. 37. 95. 11. 79.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]",1.4722828465023903,0.8251161686455082
No Sequential,100,20,100,l-bfgs-b,True,-0.3253296286622663,460.49261344490793,461.7326508588946,"[76. 42. 30. 76. 75. 44. 75. 21. 40. 34. 29. 92. 63. 90. 16. 30. 33. 42.
 74. 84. 37. 26. 22. 27.  9. 89. 41. 90. 32. 85. 64. 26. 14. 28. 95. 98.
  0. 14. 21.  8. 53. 57. 69. 48. 89. 61. 73. 38. 74. 38. 25. 56.  7. 73.
  2. 23. 27.  8. 21.  6. 13. 34. 94. 30. 21.  4. 40. 89. 67. 73. 99.  6.
 40. 62. 23. 79. 91. 50. 43. 84. 68. 82. 29. 16. 68. 38. 43. 62. 81.  1.
 42. 21. 99.  7. 38. 81. 37. 95. 11. 79.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]",1.4722828465023903,0.8251161686455082
Sequential,100,20,100,l-bfgs-b,True,5.7529651514544,453.389949867686,456.37425407442856,"[77. 11. 11. 12. 32. 33. 76. 23. 56. 78. 88. 77. 93. 48. 76. 56. 95. 35.
  1. 67. 25. 10. 76. 37. 42. 65. 20. 32. 41. 66. 94. 96. 96. 48. 36. 67.
 28. 17. 70. 48. 97. 25. 74. 95. 15. 51. 71. 84.  5. 39. 14. 63. 33. 77.
  6. 25. 37.  5. 96. 81. 64. 54. 59. 43.  7. 57. 61. 79. 54.  6. 70. 81.
 48. 76. 96. 62. 10. 89. 16. 93. 25. 63.  1.  7. 25. 91. 67.  0. 67. 39.
 69. 52. 38. 47. 12. 27. 65. 50. 10. 25.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]",1.5664948940346912,0.00024018155711491573
No Sequential,100,20,100,l-bfgs-b,True,5.7529651514544,453.389949867686,456.37425407442856,"[77. 11. 11. 12. 32. 33. 76. 23. 56. 78. 88. 77. 93. 48. 76. 56. 95. 35.
  1. 67. 25. 10. 76. 37. 42. 65. 20. 32. 41. 66. 94. 96. 96. 48. 36. 67.
 28. 17. 70. 48. 97. 25. 74. 95. 15. 51. 71. 84.  5. 39. 14. 63. 33. 77.
  6. 25. 37.  5. 96. 81. 64. 54. 59. 43.  7. 57. 61. 79. 54.  6. 70. 81.
 48. 76. 96. 62. 10. 89. 16. 93. 25. 63.  1.  7. 25. 91. 67.  0. 67. 39.
 69. 52. 38. 47. 12. 27. 65. 50. 10. 25.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674 0.93814958 0.90061213
 0.99044439 0.91609216 0.9016574  0.86228783 0.80633854 0.91754357
 0.93394165 0.81449891 0.77388554 0.99022744 0.81294182 0.82054128
 0.94206348 0.94948085 0.8860093  0.84567691 0.84541274 0.82145685
 0.93506704 0.80974671 0.85943043 0.97088468 0.82232029 0.94612671
 0.93973841 0.85444635 0.80644219 0.85502453 0.76609092 0.89910817
 0.95933093 0.9731216  0.80013186 0.87559881 0.97384546 0.81398023
 0.96680809 0.75412198 0.88812424 0.88197635 0.9808376  0.81148711
 0.76600459 0.97552618 0.96850995 0.79091682 0.99993533 0.83670099
 0.82821954 0.96177601 0.97005778 0.91913966 0.76341879 0.88980344
 0.92362824 0.95604933 0.82785716 0.87630764 0.96225095 0.82337891
 0.91927989 0.8552266  0.92042818 0.805307   0.88724942 0.96221168
 0.93414173 0.87490565 0.84491625 0.9468802  0.79221733 0.89658965
 0.85780267 0.76547755 0.82236369 0.93353635 0.82216386 0.84759953
 0.90890433 0.95778721 0.82985525 0.7898062  0.92791605 0.96817716
 0.89828909 0.92367822 0.79330833 0.88293315]",1.5664948940346912,0.00024018155711491573
