model,J,q_capacity,# consumers,method,success,beta1,fun_obj optimo,fun_obj,secuencialidad de elecciones,X_1,std_error_beta1,p_value_beta1
Sequential,10,10,100,l-bfgs-b,True,0.30418248665327435,209.2310197871389,209.9245202920087,"[8. 6. 2. 3. 7. 0. 9. 3. 9. 6. 7. 8. 0. 0. 6. 3. 1. 9. 3. 7. 2. 3. 3. 8.
 8. 4. 8. 0. 7. 7. 6. 8. 7. 1. 5. 6. 4. 3. 4. 8. 3. 5. 4. 6. 4. 4. 5. 4.
 8. 6. 2. 8. 6. 6. 0. 5. 5. 9. 2. 8. 7. 1. 5. 1. 6. 7. 1. 2. 2. 1. 2. 2.
 9. 3. 1. 5. 2. 3. 1. 0. 9. 7. 7. 1. 1. 9. 4. 0. 9. 5. 2. 5. 4. 9. 0. 0.
 4. 0. 9. 5.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]",1.4436214642490943,0.8331151883298371
No Sequential,10,10,100,l-bfgs-b,True,7.089719159718852e-05,230.25850930051476,231.14602535192606,"[8. 6. 2. 3. 7. 0. 9. 3. 9. 6. 7. 8. 0. 0. 6. 3. 1. 9. 3. 7. 2. 3. 3. 8.
 8. 4. 8. 0. 7. 7. 6. 8. 7. 1. 5. 6. 4. 3. 4. 8. 3. 5. 4. 6. 4. 4. 5. 4.
 8. 6. 2. 8. 6. 6. 0. 5. 5. 9. 2. 8. 7. 1. 5. 1. 6. 7. 1. 2. 2. 1. 2. 2.
 9. 3. 1. 5. 2. 3. 1. 0. 9. 7. 7. 1. 1. 9. 4. 0. 9. 5. 2. 5. 4. 9. 0. 0.
 4. 0. 9. 5.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]",1.5045204137084887,0.9999624014576052
Sequential,10,10,100,l-bfgs-b,True,1.4322374637467368,204.6047520919944,204.67414525441148,"[1. 6. 9. 0. 0. 7. 3. 3. 0. 5. 9. 1. 2. 5. 9. 2. 7. 9. 3. 5. 0. 8. 9. 3.
 6. 7. 2. 7. 0. 1. 3. 0. 2. 5. 1. 8. 4. 5. 8. 7. 0. 4. 4. 3. 2. 0. 4. 7.
 3. 8. 0. 5. 6. 7. 3. 9. 4. 0. 7. 8. 5. 5. 2. 2. 4. 5. 2. 7. 2. 3. 3. 1.
 5. 1. 7. 2. 8. 6. 8. 9. 6. 6. 6. 1. 6. 1. 8. 4. 4. 4. 1. 4. 8. 6. 8. 1.
 9. 9. 6. 9.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]",1.5247237444300539,0.3475550425192806
No Sequential,10,10,100,l-bfgs-b,True,1.9582983438540865e-05,230.25850929948928,231.14602535192606,"[1. 6. 9. 0. 0. 7. 3. 3. 0. 5. 9. 1. 2. 5. 9. 2. 7. 9. 3. 5. 0. 8. 9. 3.
 6. 7. 2. 7. 0. 1. 3. 0. 2. 5. 1. 8. 4. 5. 8. 7. 0. 4. 4. 3. 2. 0. 4. 7.
 3. 8. 0. 5. 6. 7. 3. 9. 4. 0. 7. 8. 5. 5. 2. 2. 4. 5. 2. 7. 2. 3. 3. 1.
 5. 1. 7. 2. 8. 6. 8. 9. 6. 6. 6. 1. 6. 1. 8. 4. 4. 4. 1. 4. 8. 6. 8. 1.
 9. 9. 6. 9.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]",1.504520809503718,0.9999896146600027
Sequential,10,10,100,l-bfgs-b,True,3.3465270660243203,208.8882364500371,209.22656764807707,"[9. 5. 5. 8. 1. 6. 0. 2. 7. 8. 0. 9. 8. 0. 6. 4. 5. 1. 3. 1. 0. 6. 5. 5.
 0. 1. 4. 2. 5. 9. 4. 3. 5. 8. 7. 0. 2. 8. 9. 6. 7. 3. 3. 5. 8. 4. 7. 5.
 2. 1. 3. 6. 8. 6. 6. 2. 4. 6. 4. 7. 3. 1. 0. 8. 0. 5. 8. 3. 7. 6. 9. 9.
 0. 1. 2. 4. 6. 0. 7. 1. 9. 9. 3. 8. 2. 1. 3. 1. 3. 2. 7. 4. 7. 9. 7. 4.
 2. 9. 2. 4.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]",1.639006713008474,0.041171182980771936
No Sequential,10,10,100,l-bfgs-b,True,-8.09905778103269e-06,230.25850929941885,231.14602535192603,"[9. 5. 5. 8. 1. 6. 0. 2. 7. 8. 0. 9. 8. 0. 6. 4. 5. 1. 3. 1. 0. 6. 5. 5.
 0. 1. 4. 2. 5. 9. 4. 3. 5. 8. 7. 0. 2. 8. 9. 6. 7. 3. 3. 5. 8. 4. 7. 5.
 2. 1. 3. 6. 8. 6. 6. 2. 4. 6. 4. 7. 3. 1. 0. 8. 0. 5. 8. 3. 7. 6. 9. 9.
 0. 1. 2. 4. 6. 0. 7. 1. 9. 9. 3. 8. 2. 1. 3. 1. 3. 2. 7. 4. 7. 9. 7. 4.
 2. 9. 2. 4.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]",1.5045210229276125,0.9999957048701467
Sequential,10,10,100,l-bfgs-b,True,4.976391756239026,192.1252557064812,193.7438486005589,"[7. 6. 7. 7. 6. 0. 4. 3. 7. 8. 0. 0. 6. 5. 4. 0. 4. 6. 0. 7. 6. 7. 1. 8.
 7. 1. 7. 5. 0. 5. 0. 4. 7. 8. 8. 5. 5. 7. 1. 4. 4. 4. 8. 8. 6. 8. 0. 1.
 9. 3. 8. 5. 5. 4. 3. 1. 1. 0. 1. 5. 2. 0. 3. 6. 4. 1. 9. 3. 3. 2. 5. 9.
 6. 3. 5. 3. 6. 4. 6. 8. 8. 2. 2. 3. 9. 2. 9. 1. 3. 2. 2. 1. 9. 2. 2. 9.
 9. 2. 9. 9.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]",1.6640385277284844,0.0027847480234792776
No Sequential,10,10,100,l-bfgs-b,True,-5.464171906639174e-05,230.25850930006402,231.14602535192594,"[7. 6. 7. 7. 6. 0. 4. 3. 7. 8. 0. 0. 6. 5. 4. 0. 4. 6. 0. 7. 6. 7. 1. 8.
 7. 1. 7. 5. 0. 5. 0. 4. 7. 8. 8. 5. 5. 7. 1. 4. 4. 4. 8. 8. 6. 8. 0. 1.
 9. 3. 8. 5. 5. 4. 3. 1. 1. 0. 1. 5. 2. 0. 3. 6. 4. 1. 9. 3. 3. 2. 5. 9.
 6. 3. 5. 3. 6. 4. 6. 8. 8. 2. 2. 3. 9. 2. 9. 1. 3. 2. 2. 1. 9. 2. 2. 9.
 9. 2. 9. 9.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]",1.5045213819281777,0.9999710221572569
Sequential,10,10,100,l-bfgs-b,True,1.5515101388648689,202.34951667233292,202.3945127719052,"[0. 6. 6. 1. 1. 5. 5. 7. 6. 2. 2. 2. 0. 9. 8. 7. 4. 0. 5. 7. 7. 3. 7. 5.
 7. 7. 0. 7. 8. 4. 0. 7. 8. 0. 0. 2. 7. 2. 9. 8. 5. 2. 3. 3. 1. 3. 0. 9.
 1. 6. 5. 8. 6. 0. 2. 0. 6. 3. 8. 4. 5. 9. 9. 8. 8. 2. 1. 4. 6. 6. 2. 4.
 3. 6. 4. 9. 9. 9. 4. 5. 6. 4. 4. 2. 4. 3. 8. 8. 3. 9. 3. 5. 1. 3. 9. 1.
 1. 5. 1. 1.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]",1.4964326889397233,0.2998263571126405
No Sequential,10,10,100,l-bfgs-b,True,2.9128848002443666e-05,230.25850929959185,231.14602535192603,"[0. 6. 6. 1. 1. 5. 5. 7. 6. 2. 2. 2. 0. 9. 8. 7. 4. 0. 5. 7. 7. 3. 7. 5.
 7. 7. 0. 7. 8. 4. 0. 7. 8. 0. 0. 2. 7. 2. 9. 8. 5. 2. 3. 3. 1. 3. 0. 9.
 1. 6. 5. 8. 6. 0. 2. 0. 6. 3. 8. 4. 5. 9. 9. 8. 8. 2. 1. 4. 6. 6. 2. 4.
 3. 6. 4. 9. 9. 9. 4. 5. 6. 4. 4. 2. 4. 3. 8. 8. 3. 9. 3. 5. 1. 3. 9. 1.
 1. 5. 1. 1.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]",1.5045207358408594,0.9999845522513982
