model,J,q_capacity,# consumers,method,success,beta1,fun_obj optimo,fun_obj,secuencialidad de elecciones,X_1,std_error_beta1,p_value_beta1
Sequential,10,50,100,l-bfgs-b,True,2.458661873263873,228.91508498547793,228.9617765502668,"[5. 8. 5. 9. 8. 3. 1. 9. 9. 6. 5. 6. 2. 1. 4. 0. 3. 6. 7. 5. 7. 3. 6. 8.
 1. 9. 3. 2. 0. 1. 8. 8. 3. 9. 4. 0. 0. 3. 3. 3. 8. 8. 5. 6. 9. 6. 8. 6.
 5. 6. 1. 7. 0. 3. 3. 4. 9. 5. 7. 7. 8. 0. 6. 0. 6. 6. 6. 1. 4. 6. 5. 8.
 3. 0. 6. 9. 1. 7. 1. 3. 5. 7. 1. 9. 2. 7. 6. 9. 3. 6. 1. 7. 7. 7. 7. 1.
 1. 7. 7. 7.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]",1.5017328995419743,0.10158524178766082
No Sequential,10,50,100,l-bfgs-b,True,2.458661873263873,228.91508498547793,228.9617765502668,"[5. 8. 5. 9. 8. 3. 1. 9. 9. 6. 5. 6. 2. 1. 4. 0. 3. 6. 7. 5. 7. 3. 6. 8.
 1. 9. 3. 2. 0. 1. 8. 8. 3. 9. 4. 0. 0. 3. 3. 3. 8. 8. 5. 6. 9. 6. 8. 6.
 5. 6. 1. 7. 0. 3. 3. 4. 9. 5. 7. 7. 8. 0. 6. 0. 6. 6. 6. 1. 4. 6. 5. 8.
 3. 0. 6. 9. 1. 7. 1. 3. 5. 7. 1. 9. 2. 7. 6. 9. 3. 6. 1. 7. 7. 7. 7. 1.
 1. 7. 7. 7.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]",1.5017328995419743,0.10158524178766082
Sequential,10,50,100,l-bfgs-b,True,3.66207014420748,227.29254259740864,227.90095436927854,"[0. 2. 7. 6. 6. 6. 7. 7. 4. 6. 4. 7. 0. 4. 5. 3. 8. 7. 7. 1. 0. 7. 1. 4.
 8. 9. 0. 1. 8. 4. 9. 8. 0. 1. 2. 0. 8. 3. 9. 3. 7. 9. 8. 7. 3. 6. 0. 6.
 7. 5. 3. 2. 2. 7. 5. 6. 0. 4. 3. 0. 0. 7. 5. 8. 6. 0. 6. 3. 5. 2. 4. 7.
 0. 4. 8. 9. 1. 9. 7. 9. 3. 6. 0. 5. 8. 1. 8. 5. 8. 6. 7. 6. 0. 6. 4. 7.
 5. 1. 8. 5.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]",1.512181275407604,0.015447514510810612
No Sequential,10,50,100,l-bfgs-b,True,3.66207014420748,227.29254259740864,227.90095436927854,"[0. 2. 7. 6. 6. 6. 7. 7. 4. 6. 4. 7. 0. 4. 5. 3. 8. 7. 7. 1. 0. 7. 1. 4.
 8. 9. 0. 1. 8. 4. 9. 8. 0. 1. 2. 0. 8. 3. 9. 3. 7. 9. 8. 7. 3. 6. 0. 6.
 7. 5. 3. 2. 2. 7. 5. 6. 0. 4. 3. 0. 0. 7. 5. 8. 6. 0. 6. 3. 5. 2. 4. 7.
 0. 4. 8. 9. 1. 9. 7. 9. 3. 6. 0. 5. 8. 1. 8. 5. 8. 6. 7. 6. 0. 6. 4. 7.
 5. 1. 8. 5.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]",1.512181275407604,0.015447514510810612
Sequential,10,50,100,l-bfgs-b,True,2.5140284939479756,228.85416252411474,228.91277035650103,"[7. 4. 4. 4. 3. 1. 7. 6. 7. 3. 5. 4. 8. 5. 4. 6. 1. 6. 8. 6. 6. 2. 1. 1.
 5. 0. 0. 5. 2. 6. 7. 2. 5. 6. 2. 3. 4. 8. 8. 8. 8. 2. 8. 1. 0. 8. 6. 9.
 0. 5. 7. 5. 6. 7. 3. 5. 6. 4. 8. 7. 7. 3. 0. 4. 9. 6. 4. 0. 0. 2. 9. 3.
 7. 7. 5. 0. 6. 2. 2. 9. 2. 7. 7. 4. 4. 0. 2. 8. 6. 5. 3. 8. 6. 9. 2. 3.
 8. 7. 5. 0.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]",1.5020429038833762,0.09418181302353701
No Sequential,10,50,100,l-bfgs-b,True,2.5140284939479756,228.85416252411474,228.91277035650103,"[7. 4. 4. 4. 3. 1. 7. 6. 7. 3. 5. 4. 8. 5. 4. 6. 1. 6. 8. 6. 6. 2. 1. 1.
 5. 0. 0. 5. 2. 6. 7. 2. 5. 6. 2. 3. 4. 8. 8. 8. 8. 2. 8. 1. 0. 8. 6. 9.
 0. 5. 7. 5. 6. 7. 3. 5. 6. 4. 8. 7. 7. 3. 0. 4. 9. 6. 4. 0. 0. 2. 9. 3.
 7. 7. 5. 0. 6. 2. 2. 9. 2. 7. 7. 4. 4. 0. 2. 8. 6. 5. 3. 8. 6. 9. 2. 3.
 8. 7. 5. 0.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]",1.5020429038833762,0.09418181302353701
Sequential,10,50,100,l-bfgs-b,True,0.05604999504587145,230.25781532298117,231.096496267282,"[6. 4. 2. 7. 2. 7. 6. 9. 3. 0. 6. 0. 1. 7. 1. 1. 0. 2. 9. 3. 2. 9. 8. 2.
 7. 9. 0. 5. 5. 5. 9. 9. 0. 1. 7. 5. 6. 0. 5. 2. 5. 9. 5. 4. 3. 6. 8. 0.
 4. 2. 5. 2. 8. 1. 1. 6. 2. 2. 7. 3. 7. 6. 0. 6. 5. 4. 2. 3. 7. 6. 5. 7.
 0. 9. 3. 0. 7. 5. 2. 2. 8. 8. 5. 8. 2. 9. 1. 8. 9. 2. 9. 9. 7. 6. 4. 9.
 1. 2. 7. 8.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]",1.5040971127905094,0.9702738095187047
No Sequential,10,50,100,l-bfgs-b,True,0.05604999504587145,230.25781532298117,231.096496267282,"[6. 4. 2. 7. 2. 7. 6. 9. 3. 0. 6. 0. 1. 7. 1. 1. 0. 2. 9. 3. 2. 9. 8. 2.
 7. 9. 0. 5. 5. 5. 9. 9. 0. 1. 7. 5. 6. 0. 5. 2. 5. 9. 5. 4. 3. 6. 8. 0.
 4. 2. 5. 2. 8. 1. 1. 6. 2. 2. 7. 3. 7. 6. 0. 6. 5. 4. 2. 3. 7. 6. 5. 7.
 0. 9. 3. 0. 7. 5. 2. 2. 8. 8. 5. 8. 2. 9. 1. 8. 9. 2. 9. 9. 7. 6. 4. 9.
 1. 2. 7. 8.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]",1.5040971127905094,0.9702738095187047
Sequential,10,50,100,l-bfgs-b,True,1.5653836886625592,229.7138214269291,229.7558524318211,"[0. 6. 2. 5. 3. 2. 8. 1. 4. 2. 8. 0. 8. 9. 0. 8. 1. 2. 0. 3. 8. 7. 0. 5.
 0. 6. 5. 3. 2. 3. 6. 9. 6. 0. 9. 8. 3. 4. 7. 7. 5. 8. 9. 7. 0. 8. 8. 4.
 0. 9. 4. 0. 4. 4. 5. 7. 3. 2. 5. 1. 8. 9. 5. 6. 9. 4. 2. 0. 4. 6. 4. 0.
 3. 5. 8. 9. 6. 1. 4. 5. 6. 0. 9. 4. 8. 3. 8. 3. 0. 5. 2. 1. 6. 5. 5. 9.
 9. 6. 1. 7.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]",1.4990028451759612,0.2963543213080959
No Sequential,10,50,100,l-bfgs-b,True,1.5653836886625592,229.7138214269291,229.7558524318211,"[0. 6. 2. 5. 3. 2. 8. 1. 4. 2. 8. 0. 8. 9. 0. 8. 1. 2. 0. 3. 8. 7. 0. 5.
 0. 6. 5. 3. 2. 3. 6. 9. 6. 0. 9. 8. 3. 4. 7. 7. 5. 8. 9. 7. 0. 8. 8. 4.
 0. 9. 4. 0. 4. 4. 5. 7. 3. 2. 5. 1. 8. 9. 5. 6. 9. 4. 2. 0. 4. 6. 4. 0.
 3. 5. 8. 9. 6. 1. 4. 5. 6. 0. 9. 4. 8. 3. 8. 3. 0. 5. 2. 1. 6. 5. 5. 9.
 9. 6. 1. 7.]","[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572 0.93181004
 0.91985013 0.86846143 0.86207396 0.75477674]",1.4990028451759612,0.2963543213080959
