"q","Mean","SD","R","Min","Q1","Median","Q3","Max","SE","Z2_stat","p_value_Z2","CI_lower_Z","CI_upper_Z"
2,6.96866424529952e-06,3.82696007653165e-05,1000,-0.00011850306910682,-2.0375719509704e-05,7.75598113515741e-06,3.41237467833093e-05,0.00013183983990526,1.21019103563723e-06,-1652625.8850386,0,3.57161714211884e-06,1.03657113484802e-05
3,1.3714399192704,1.00295727220677,1000,-1.6208244432631,0.691492057816252,1.37679600511948,2.0200284142471,4.59495426357634,0.031716293760029,-19.8182071803659,0,1.28241121167929,1.46046862686151
4,1.72573186500731,1.28418273835949,998,-2.96457779527198,0.842166625252008,1.72467199578609,2.58505053393718,5.72595963558707,0.040650094290569,-6.74704794119814,1.50883749938657e-11,1.61162567764732,1.83983805236729
5,1.95106226693075,1.40392419180055,998,-2.62349383306179,1.01220201300038,1.92469351166703,2.88162252971158,7.94722511796295,0.0444404437692475,-1.10119811861821,0.270810440364481,1.82631644059028,2.07580809327121
20,1.99171142119477,1.48324405735221,999,-3.65877759308076,0.981402935795265,2.02950031445742,3.02115339550583,7.38250551058022,0.0469277652229409,-0.176624196056413,0.85980358717843,1.85998359954107,2.12343924284848
50,1.96409859486128,1.47835188513218,997,-2.03819914712442,0.915291022871899,1.88800683761756,3.06343249715205,7.32413362742605,0.0468198739646751,-0.766798414831332,0.443201379004877,1.83267362761284,2.09552356210973
100,2.03660461564808,1.4993545822918,999,-2.69145805225697,1.02079150275937,2.00873813076819,3.01544337777667,6.74002306540166,0.0474374796750136,0.771639132155679,0.440328190457438,1.90344600831519,2.16976322298097
