"q","Mean","SD","R","Min","Q1","Median","Q3","Max","SE","Z2_stat","p_value_Z2","CI_lower_Z","CI_upper_Z"
1,2.02067004282966,0.428356749068197,1000,0.569644052294332,1.72682655812308,2.01362390984833,2.2778110957833,3.3188388160466,0.0135458297816071,1.52593404486186,0.127026290992784,1.98264644121245,2.05869364444687
2,2.01195477041597,0.40733328987378,1000,0.850371121014172,1.73411070126943,1.99976856326022,2.2820957825301,3.27900013507746,0.0128810096281074,0.928092654311926,0.353359509671224,1.97579734141951,2.04811219941243
3,2.01147824172031,0.425954949146448,1000,0.617610384750242,1.70402425498026,1.98064590515442,2.28433128883952,3.68647978093577,0.0134698781992397,0.852141463384442,0.394135581167892,1.97366783875957,2.04928864468105
5,2.02534839177067,0.42669537253074,1000,0.554235979096373,1.73039516521709,2.01736843901783,2.30873410711745,3.26948453381617,0.0134932924425118,1.87859203961296,0.060300218925484,1.9874722642384,2.06322451930294
20,2.01100878771135,0.422963652576849,1000,0.782843836177753,1.72720892851528,2.00231614566957,2.28790004868211,3.3136053549319,0.0133752850960699,0.823069387477132,0.410468536010309,1.97346391078546,2.04855366463725
50,2.00525202122542,0.407294337951643,999,0.721211525924532,1.72251247569469,1.99959231996507,2.27836935274828,3.46050175456728,0.0128862225830507,0.407568718573182,0.683590333887335,1.9690799592884,2.04142408316244
100,1.99935302764499,0.417398926723482,1000,0.457708936142258,1.72327530311719,1.99706899236603,2.27480650881949,3.34196839161913,0.0131993130135592,-0.0490156081869007,0.960906857356054,1.96230211029699,2.03640394499299
