"q","Mean","SD","R","Min","Q1","Median","Q3","Max","SE","Z2_stat","p_value_Z2","CI_lower_Z","CI_upper_Z"
2,1.61794038729552e-07,2.48422665299424e-06,1000,-8.1683991245622e-06,-1.32471293212431e-06,1.38782764638105e-07,1.75237181909674e-06,8.21309733883206e-06,7.85581444755856e-08,-25458847.7306452,0,-5.87213255918486e-08,3.82309403050952e-07
3,1.2048849063714,0.207943872751663,1000,0.414378377185462,1.06716899656384,1.21067462336846,1.34688794442704,1.90809616041737,0.00657576263371482,-120.916027222749,0,1.18642651860595,1.22334329413685
4,1.66413053932422,0.312071354144398,1000,0.750607233661913,1.44688855667922,1.65972793626299,1.8791613184662,2.67660634820637,0.00986856271589323,-34.0342834458425,0,1.63642915053569,1.69183192811275
5,1.87543656765143,0.343849947366207,1000,0.651743587638325,1.62950603882775,1.8701385689515,2.08508666299341,2.93746989287556,0.0108734900700623,-11.4556992783329,0,1.84491431384501,1.90595882145784
20,1.98798536587793,0.395613277266602,1000,0.780259926537702,1.72693783872854,1.98620559876788,2.24292091546093,3.35827768053182,0.0125103902876617,-0.960372446087662,0.3368678005442,1.9528682778853,2.02310245387055
50,2.03157844567149,0.408131518729402,1000,0.613619216270703,1.74947949358846,2.0266692814755,2.29880312762934,3.27976785220526,0.0129062518408858,2.44675573209019,0.0144148495302727,1.99535016093137,2.0678067304116
100,2.01972795106741,0.390782585085344,1000,0.733522190219173,1.76087232279999,2.01018761911218,2.29875420021031,3.42816566181175,0.0123576303879823,1.59641860518803,0.110395364993317,1.98503966527163,2.05441623686319
