model,J,q_capacity,# consumers,method,success,beta1,fun_obj optimo,fun_obj,secuencialidad de elecciones,X_1
Sequential,50,2,100,l-bfgs-b,True,2.7399627807718305,301.3691194318864,302.69453368073886,"[22. 41. 13. 30. 24. 45.  6. 26. 27. 33. 46. 28.  6. 36. 48. 41. 46. 24.
  5. 10. 48.  5. 21.  9. 21. 40. 12. 33. 39. 42. 18. 28. 11. 23. 35. 43.
 17. 12. 35. 17. 42. 13. 38. 36. 22.  3. 30. 43. 18. 14.  8. 27.  7. 14.
 16. 26. 39.  7. 19. 19. 45. 49.  0.  9.  4.  2. 23.  0. 25.  4. 47. 10.
 34. 44. 47. 25. 16. 11. 32. 40.  8. 37. 15.  1. 32. 34. 20. 20. 38. 15.
 31. 44. 31. 37.  3.  1. 29. 29. 49.  2.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793]"
No Sequential,50,2,100,l-bfgs-b,True,2.2798082331369892e-06,391.2023005428348,406.1528059061807,"[22. 41. 13. 30. 24. 45.  6. 26. 27. 33. 46. 28.  6. 36. 48. 41. 46. 24.
  5. 10. 48.  5. 21.  9. 21. 40. 12. 33. 39. 42. 18. 28. 11. 23. 35. 43.
 17. 12. 35. 17. 42. 13. 38. 36. 22.  3. 30. 43. 18. 14.  8. 27.  7. 14.
 16. 26. 39.  7. 19. 19. 45. 49.  0.  9.  4.  2. 23.  0. 25.  4. 47. 10.
 34. 44. 47. 25. 16. 11. 32. 40.  8. 37. 15.  1. 32. 34. 20. 20. 38. 15.
 31. 44. 31. 37.  3.  1. 29. 29. 49.  2.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793]"
Sequential,50,2,100,l-bfgs-b,True,2.3335902394568686,306.0831894068335,306.375477008045,"[12. 26. 17. 35.  3. 48. 36. 37. 47. 25. 18. 45. 46.  0. 30. 18. 11. 12.
 11. 35. 39. 45. 33. 33. 17. 19. 43. 39.  5. 13. 22. 37. 21. 15.  3. 46.
 43. 29. 41. 34. 14. 24. 40.  8. 42.  7. 24. 28.  6. 21. 28. 23. 36. 41.
 14. 16. 42.  7. 27.  4. 22. 10.  0.  4. 30. 32.  5.  6. 48. 19.  8. 10.
 38. 38. 25.  9. 13. 27. 47.  1. 32. 34. 23.  1. 44. 15. 20. 26. 20. 44.
 31. 31. 29. 40.  9. 16.  2.  2. 49. 49.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793]"
No Sequential,50,2,100,l-bfgs-b,True,-2.9407033327259312e-06,391.202300542848,406.1528059061805,"[12. 26. 17. 35.  3. 48. 36. 37. 47. 25. 18. 45. 46.  0. 30. 18. 11. 12.
 11. 35. 39. 45. 33. 33. 17. 19. 43. 39.  5. 13. 22. 37. 21. 15.  3. 46.
 43. 29. 41. 34. 14. 24. 40.  8. 42.  7. 24. 28.  6. 21. 28. 23. 36. 41.
 14. 16. 42.  7. 27.  4. 22. 10.  0.  4. 30. 32.  5.  6. 48. 19.  8. 10.
 38. 38. 25.  9. 13. 27. 47.  1. 32. 34. 23.  1. 44. 15. 20. 26. 20. 44.
 31. 31. 29. 40.  9. 16.  2.  2. 49. 49.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793]"
Sequential,50,2,100,l-bfgs-b,True,2.2858233114014808,300.99642209564945,301.20706931950696,"[ 5. 26.  8. 26. 12. 38. 41. 27. 35.  5.  8.  0. 29. 10. 43. 21. 48. 16.
 42.  0. 25. 33.  6. 41. 42. 24. 18. 12. 40. 11. 21.  6. 36. 16. 43. 20.
 36. 48. 29. 31. 25. 33. 35. 30. 34. 10.  7. 46. 13. 40. 47. 34. 46. 31.
  2. 20. 30. 32. 44. 39. 17. 14. 28. 15. 44. 13. 14. 17. 27. 28.  7. 23.
 23. 38. 45. 39. 24. 47. 32.  3. 11. 18. 19.  3.  1.  1. 19. 15. 37.  2.
 37. 45.  9. 22. 49. 22.  4.  4. 49.  9.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793]"
No Sequential,50,2,100,l-bfgs-b,True,1.4462144385675967e-06,391.2023005428225,406.1528059061804,"[ 5. 26.  8. 26. 12. 38. 41. 27. 35.  5.  8.  0. 29. 10. 43. 21. 48. 16.
 42.  0. 25. 33.  6. 41. 42. 24. 18. 12. 40. 11. 21.  6. 36. 16. 43. 20.
 36. 48. 29. 31. 25. 33. 35. 30. 34. 10.  7. 46. 13. 40. 47. 34. 46. 31.
  2. 20. 30. 32. 44. 39. 17. 14. 28. 15. 44. 13. 14. 17. 27. 28.  7. 23.
 23. 38. 45. 39. 24. 47. 32.  3. 11. 18. 19.  3.  1.  1. 19. 15. 37.  2.
 37. 45.  9. 22. 49. 22.  4.  4. 49.  9.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793]"
Sequential,50,2,100,l-bfgs-b,True,2.2441536660647325,307.95523675086133,308.1056383041767,"[28. 27. 48. 17. 16. 13. 35. 24. 12. 21. 36. 31. 15. 43.  8. 17. 38.  5.
 15. 48. 22. 21. 24. 13. 10.  3. 14. 12. 10. 23. 39. 18. 46. 20. 33. 38.
 14. 26. 19. 42. 43. 47. 35.  0. 25.  1. 46.  8. 32.  1. 22. 36. 41. 42.
 41.  5.  0. 27.  6.  4. 32. 33. 29. 25. 30.  6. 30. 31. 20. 11. 40. 16.
 26.  4. 47.  2. 39. 40.  7. 18. 23. 28.  2.  7. 11. 37. 34. 45. 45. 29.
 44. 37. 34. 19. 49.  9. 44.  3. 49.  9.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793]"
No Sequential,50,2,100,l-bfgs-b,True,1.9333307679975965e-07,391.20230054281495,406.1528059061806,"[28. 27. 48. 17. 16. 13. 35. 24. 12. 21. 36. 31. 15. 43.  8. 17. 38.  5.
 15. 48. 22. 21. 24. 13. 10.  3. 14. 12. 10. 23. 39. 18. 46. 20. 33. 38.
 14. 26. 19. 42. 43. 47. 35.  0. 25.  1. 46.  8. 32.  1. 22. 36. 41. 42.
 41.  5.  0. 27.  6.  4. 32. 33. 29. 25. 30.  6. 30. 31. 20. 11. 40. 16.
 26.  4. 47.  2. 39. 40.  7. 18. 23. 28.  2.  7. 11. 37. 34. 45. 45. 29.
 44. 37. 34. 19. 49.  9. 44.  3. 49.  9.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793]"
Sequential,50,2,100,l-bfgs-b,True,1.8065402895966987,311.396720668688,311.4995924411461,"[ 8. 35. 21. 18. 17. 32.  5. 40. 25. 19. 43. 15. 41. 37. 36.  6.  8. 24.
 40. 13.  0.  6. 33. 29. 12. 44. 34. 24.  5.  9. 38. 47.  0. 41. 34. 42.
 12. 11. 21. 43. 33. 39. 14. 42. 47. 30. 10. 27. 48.  4. 48. 30. 18.  3.
 11. 22. 38. 27. 14. 44. 29. 25. 17. 10. 16.  4. 19. 46. 37. 35. 32. 36.
  1.  3. 13. 46. 15. 28.  2.  9. 26. 16. 22. 45. 39. 26. 31. 28. 23. 23.
  7.  1. 45.  7. 31. 49. 20. 20.  2. 49.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793]"
No Sequential,50,2,100,l-bfgs-b,True,1.2428018909831258e-06,391.2023005428209,406.15280590618056,"[ 8. 35. 21. 18. 17. 32.  5. 40. 25. 19. 43. 15. 41. 37. 36.  6.  8. 24.
 40. 13.  0.  6. 33. 29. 12. 44. 34. 24.  5.  9. 38. 47.  0. 41. 34. 42.
 12. 11. 21. 43. 33. 39. 14. 42. 47. 30. 10. 27. 48.  4. 48. 30. 18.  3.
 11. 22. 38. 27. 14. 44. 29. 25. 17. 10. 16.  4. 19. 46. 37. 35. 32. 36.
  1.  3. 13. 46. 15. 28.  2.  9. 26. 16. 22. 45. 39. 26. 31. 28. 23. 23.
  7.  1. 45.  7. 31. 49. 20. 20.  2. 49.]","[0.69910875 0.18815196 0.04380856 0.20501895 0.10606287 0.72724014
 0.67940052 0.4738457  0.44829582 0.01910695 0.75259834 0.60244854
 0.96177758 0.66436865 0.60662962 0.44915131 0.22535416 0.6701743
 0.73576659 0.25799564 0.09554215 0.96090974 0.25176729 0.28216512
 0.76825393 0.7979234  0.5440372  0.38270763 0.38165095 0.28582739
 0.74026815 0.23898683 0.4377217  0.8835387  0.28928114 0.78450686
 0.75895366 0.41778538 0.22576877 0.42009814 0.06436369 0.59643269
 0.83732372 0.89248639 0.20052744 0.50239523 0.89538184 0.25592093
 0.86723234 0.01648793]"
