model,J,q_capacity,# consumers,method,success,beta1,fun_obj optimo,fun_obj,secuencialidad de elecciones,X_1
Sequential,5,21,100,l-bfgs-b,True,2.008136348643256,154.864886744076,154.8648974353885,"[0. 0. 4. 2. 1. 1. 0. 4. 4. 0. 4. 4. 1. 2. 1. 2. 0. 3. 2. 3. 1. 2. 1. 3.
 0. 3. 1. 2. 4. 3. 4. 4. 1. 3. 4. 2. 4. 0. 0. 1. 1. 2. 1. 0. 1. 1. 2. 4.
 1. 0. 0. 0. 2. 4. 0. 0. 0. 0. 4. 0. 4. 0. 3. 0. 4. 3. 3. 4. 4. 1. 1. 2.
 4. 1. 3. 2. 1. 3. 0. 3. 2. 0. 2. 2. 4. 1. 1. 2. 3. 3. 2. 4. 2. 2. 1. 3.
 3. 3. 2. 2.]",[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572]
No Sequential,5,21,100,l-bfgs-b,True,0.23197640165547984,160.9346230232542,161.49578162587588,"[0. 0. 4. 2. 1. 1. 0. 4. 4. 0. 4. 4. 1. 2. 1. 2. 0. 3. 2. 3. 1. 2. 1. 3.
 0. 3. 1. 2. 4. 3. 4. 4. 1. 3. 4. 2. 4. 0. 0. 1. 1. 2. 1. 0. 1. 1. 2. 4.
 1. 0. 0. 0. 2. 4. 0. 0. 0. 0. 4. 0. 4. 0. 3. 0. 4. 3. 3. 4. 4. 1. 1. 2.
 4. 1. 3. 2. 1. 3. 0. 3. 2. 0. 2. 2. 4. 1. 1. 2. 3. 3. 2. 4. 2. 2. 1. 3.
 3. 3. 2. 2.]",[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572]
Sequential,5,21,100,l-bfgs-b,True,0.33335716745820304,155.69176581103534,156.22002219776064,"[4. 0. 2. 2. 0. 3. 2. 3. 0. 2. 1. 1. 1. 3. 0. 1. 1. 1. 1. 0. 4. 4. 0. 1.
 0. 4. 0. 3. 2. 2. 1. 0. 0. 1. 1. 0. 3. 0. 2. 3. 0. 1. 4. 0. 0. 2. 4. 2.
 1. 1. 3. 2. 3. 2. 3. 4. 4. 3. 4. 2. 3. 4. 1. 3. 4. 2. 2. 3. 1. 1. 0. 4.
 1. 1. 4. 3. 0. 2. 4. 0. 1. 3. 1. 3. 0. 4. 3. 0. 3. 2. 2. 3. 3. 4. 3. 4.
 2. 2. 4. 0.]",[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572]
No Sequential,5,21,100,l-bfgs-b,True,0.6043679173725109,160.8801558721136,161.23561515931047,"[4. 0. 2. 2. 0. 3. 2. 3. 0. 2. 1. 1. 1. 3. 0. 1. 1. 1. 1. 0. 4. 4. 0. 1.
 0. 4. 0. 3. 2. 2. 1. 0. 0. 1. 1. 0. 3. 0. 2. 3. 0. 1. 4. 0. 0. 2. 4. 2.
 1. 1. 3. 2. 3. 2. 3. 4. 4. 3. 4. 2. 3. 4. 1. 3. 4. 2. 2. 3. 1. 1. 0. 4.
 1. 1. 4. 3. 0. 2. 4. 0. 1. 3. 1. 3. 0. 4. 3. 0. 3. 2. 2. 3. 3. 4. 3. 4.
 2. 2. 4. 0.]",[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572]
Sequential,5,21,100,l-bfgs-b,True,1.8524195373524972,152.53426297950557,152.5379125285413,"[3. 4. 1. 3. 0. 3. 3. 2. 4. 0. 3. 2. 2. 2. 1. 4. 0. 0. 4. 3. 0. 2. 4. 0.
 3. 4. 4. 2. 1. 0. 2. 4. 0. 2. 1. 1. 3. 4. 0. 3. 1. 2. 3. 3. 3. 2. 3. 0.
 0. 0. 3. 4. 1. 4. 2. 4. 3. 3. 2. 3. 0. 3. 2. 1. 1. 4. 1. 0. 3. 1. 2. 1.
 4. 1. 0. 4. 4. 0. 4. 4. 0. 0. 0. 0. 1. 0. 2. 3. 2. 4. 2. 3. 4. 4. 2. 1.
 1. 2. 1. 1.]",[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572]
No Sequential,5,21,100,l-bfgs-b,True,0.4291685369895516,160.9119785476168,161.35874878765387,"[3. 4. 1. 3. 0. 3. 3. 2. 4. 0. 3. 2. 2. 2. 1. 4. 0. 0. 4. 3. 0. 2. 4. 0.
 3. 4. 4. 2. 1. 0. 2. 4. 0. 2. 1. 1. 3. 4. 0. 3. 1. 2. 3. 3. 3. 2. 3. 0.
 0. 0. 3. 4. 1. 4. 2. 4. 3. 3. 2. 3. 0. 3. 2. 1. 1. 4. 1. 0. 3. 1. 2. 1.
 4. 1. 0. 4. 4. 0. 4. 4. 0. 0. 0. 0. 1. 0. 2. 3. 2. 4. 2. 3. 4. 4. 2. 1.
 1. 2. 1. 1.]",[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572]
Sequential,5,21,100,l-bfgs-b,True,1.0563992815931391,150.13187047283256,150.2749867937433,"[2. 2. 3. 1. 2. 0. 0. 2. 0. 2. 0. 3. 1. 2. 1. 0. 4. 3. 2. 2. 3. 2. 2. 1.
 1. 2. 2. 2. 3. 3. 0. 0. 3. 0. 4. 1. 0. 3. 4. 2. 2. 0. 4. 2. 0. 4. 4. 1.
 3. 3. 1. 0. 2. 1. 2. 1. 2. 0. 1. 4. 1. 0. 3. 4. 0. 3. 1. 0. 3. 3. 2. 4.
 1. 2. 3. 0. 1. 3. 0. 3. 0. 4. 4. 0. 4. 0. 1. 3. 4. 3. 4. 4. 3. 1. 1. 1.
 4. 3. 1. 1.]",[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572]
No Sequential,5,21,100,l-bfgs-b,True,0.5160065454781229,160.89759337158637,161.29786947003996,"[2. 2. 3. 1. 2. 0. 0. 2. 0. 2. 0. 3. 1. 2. 1. 0. 4. 3. 2. 2. 3. 2. 2. 1.
 1. 2. 2. 2. 3. 3. 0. 0. 3. 0. 4. 1. 0. 3. 4. 2. 2. 0. 4. 2. 0. 4. 4. 1.
 3. 3. 1. 0. 2. 1. 2. 1. 2. 0. 1. 4. 1. 0. 3. 4. 0. 3. 1. 0. 3. 3. 2. 4.
 1. 2. 3. 0. 1. 3. 0. 3. 0. 4. 4. 0. 4. 0. 1. 3. 4. 3. 4. 4. 3. 1. 1. 1.
 4. 3. 1. 1.]",[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572]
Sequential,5,21,100,l-bfgs-b,True,2.641257383025378,148.37707503165717,148.4425523402827,"[2. 0. 0. 0. 1. 0. 3. 1. 1. 1. 3. 1. 0. 1. 1. 0. 1. 3. 3. 0. 3. 3. 0. 0.
 2. 3. 2. 1. 4. 4. 0. 1. 4. 2. 2. 2. 2. 1. 1. 0. 4. 3. 2. 0. 4. 2. 4. 0.
 4. 3. 1. 3. 2. 4. 0. 2. 3. 3. 3. 0. 1. 0. 1. 0. 0. 4. 2. 4. 1. 2. 3. 0.
 2. 1. 1. 1. 0. 2. 0. 3. 4. 2. 2. 1. 3. 2. 2. 3. 2. 3. 4. 1. 3. 2. 3. 4.
 3. 4. 4. 4.]",[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572]
No Sequential,5,21,100,l-bfgs-b,True,0.5160439692811397,160.8975933720191,161.29786947003984,"[2. 0. 0. 0. 1. 0. 3. 1. 1. 1. 3. 1. 0. 1. 1. 0. 1. 3. 3. 0. 3. 3. 0. 0.
 2. 3. 2. 1. 4. 4. 0. 1. 4. 2. 2. 2. 2. 1. 1. 0. 4. 3. 2. 0. 4. 2. 4. 0.
 4. 3. 1. 3. 2. 4. 0. 2. 3. 3. 3. 0. 1. 0. 1. 0. 0. 4. 2. 4. 1. 2. 3. 0.
 2. 1. 1. 1. 0. 2. 0. 3. 4. 2. 2. 1. 3. 2. 2. 3. 2. 3. 4. 1. 3. 2. 3. 4.
 3. 4. 4. 4.]",[0.92477719 0.79703799 0.76095214 0.80125474 0.77651572]
