"q","Mean","SD","R","Min","Q1","Median","Q3","Max","SE","Z2_stat","p_value_Z2","CI_lower_Z","CI_upper_Z"
20,3.72884162291749e-07,2.76200089440762e-06,1000,-8.7218195610472e-06,-1.52029061597862e-06,4.05457400405021e-07,2.31679568782203e-06,1.02652601517964e-05,8.73421372575031e-08,-22898450.7354041,0,1.27711833610618e-07,6.1805649097288e-07
21,0.145003021749759,0.0386994568438526,1000,0.0398466353808084,0.129092529650735,0.151166999965828,0.184013917851616,0.184022177728897,0.00122378427837965,-1515.78755424636,0,0.141567817955179,0.148438225544339
22,0.266916993325179,0.0588426732274031,1000,0.0792377512578981,0.228183530380867,0.275293328712182,0.310424650063974,0.358975323118816,0.00186076871011605,-931.380131906204,0,0.261693752720805,0.272140233929552
25,0.575775865514772,0.0786895773134123,1000,0.339466330843,0.522680364685829,0.577415250648002,0.634234656569611,0.776925271444119,0.00248838292426296,-572.349263691829,0,0.568790890617796,0.582760840411749
40,1.70892162423429,0.137191173658194,1000,0.899999801198745,1.67383882552947,1.73924045636104,1.79318520478435,1.95328194287007,0.00433836583631586,-67.0940134483671,0,1.69674368483232,1.72109956363626
50,1.97056721025405,0.331594094986105,1000,0.803348122140004,1.74165136298336,1.98288417184155,2.23581706196026,2.6164925464409,0.0104859259881831,-2.80688513147208,0.00500230759119069,1.94113286191287,2.00000155859524
100,1.98852759000406,0.368082041436877,1000,0.888157131118928,1.74441429040819,1.98011364988755,2.22844828033854,2.97912005485796,0.0116397761674501,-0.985621186430248,0.324319037523489,1.95585434524606,2.02120083476205
